,MS_SubClass,MS_Zoning,Lot_Area,Neighborhood,Overall_Qual,Mas_Vnr_Area,Exter_Qual,Foundation,Bsmt_Qual,Bsmt_Exposure,Total_Bsmt_SF,Heating_QC,Central_Air,Electrical,Gr_Liv_Area,Full_Bath,Kitchen_Qual,TotRms_AbvGrd,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Finish,Garage_Cars,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Sale_Type,Sale_Condition,Age_of_Property,Sale_Price,PID
40,2,5,12182,18,5,226,2,2,2,2,1541,0,1,4,1541,2,2,7,1,2,0,2,2,2,0,70,6,5,5,220000,528120100
42,2,5,14122,18,8,240,2,2,0,3,1822,0,1,4,1822,2,0,8,1,2,0,2,3,2,0,119,9,4,5,259000,528138020
43,2,5,10171,18,5,168,2,2,2,3,1517,0,1,4,1535,2,2,7,0,3,0,2,2,2,0,0,9,4,6,214000,528138060
44,2,5,12919,18,3,760,0,2,0,1,2330,0,1,4,2364,2,0,11,2,2,0,0,3,2,0,67,6,5,1,335000,528150070
46,2,5,14300,18,3,1095,0,2,0,1,2846,0,1,4,2462,2,0,10,2,2,0,0,3,2,220,150,9,4,7,335000,528176010
48,3,5,7658,18,3,412,0,2,0,3,1752,0,1,4,1752,2,0,6,1,2,0,2,2,2,196,82,9,4,5,319900,528180070
49,3,5,7132,18,8,178,2,2,2,2,1370,0,1,4,1370,2,2,6,1,2,0,2,2,2,120,49,9,4,4,205000,528181050
50,14,5,2628,18,5,106,2,2,2,3,764,0,1,4,1626,2,2,6,0,3,2,2,2,2,0,27,9,4,7,175500,528188120
51,2,5,18494,8,0,0,2,2,2,3,1324,0,1,4,1324,2,2,6,0,3,0,0,2,2,36,23,9,4,5,199500,528218150
53,3,5,3182,0,8,16,2,2,2,3,1256,0,1,4,1269,2,2,6,1,5,0,0,2,2,146,20,9,4,6,192000,528228440
54,10,5,13300,8,5,0,2,2,2,3,384,0,1,4,1374,2,2,7,1,2,2,0,2,2,100,0,9,4,6,184500,528231020
55,13,5,7851,8,0,0,2,2,2,3,860,0,1,4,1960,2,2,8,2,5,2,0,2,2,288,48,9,4,8,216500,528240070
56,13,5,8577,8,5,0,2,2,2,3,847,0,1,4,1733,2,2,7,1,2,2,0,2,2,144,48,9,4,6,185088,528240130
57,10,5,7750,8,5,0,3,2,2,3,384,0,1,4,1430,2,4,7,1,5,2,0,2,2,180,0,9,4,10,180000,528250100
58,13,5,9505,8,5,180,2,2,2,3,884,0,1,4,2035,2,2,8,1,2,2,0,2,2,144,48,9,4,9,222500,528292020
60,13,5,17433,17,8,114,2,2,0,3,1629,0,1,4,2462,2,2,7,1,5,0,0,3,2,23,172,9,4,12,335000,528344070
61,2,5,10593,17,5,338,2,2,2,3,1720,0,1,4,1720,2,2,7,1,5,0,0,2,2,240,56,9,4,14,260400,528358010
62,13,5,12256,17,8,362,2,2,0,0,1463,0,1,4,2462,2,2,9,2,5,0,2,2,2,186,32,9,4,16,325000,528363130
63,13,5,11764,17,8,348,2,2,2,3,1152,0,1,4,2270,2,2,9,1,2,0,0,3,2,132,57,9,4,11,290000,528382020
65,5,5,14720,17,8,579,2,2,2,0,2033,0,1,4,2462,2,2,9,1,0,0,0,3,2,283,86,9,4,15,335000,528386040
67,2,2,9215,23,5,0,2,2,2,3,1218,0,1,4,1218,2,2,4,0,3,0,2,2,2,0,136,6,5,1,204500,528456160
68,13,2,8640,23,5,0,3,2,2,2,756,0,1,4,1547,2,2,7,0,3,0,3,2,2,169,45,2,4,1,215200,528458070
69,2,2,9000,23,8,36,2,2,2,0,1566,0,1,4,1566,2,2,7,0,3,0,2,2,2,144,168,9,4,2,262500,528458110
70,13,2,12552,23,5,0,2,2,2,3,991,0,1,4,1947,2,2,8,1,2,0,2,2,2,0,136,9,4,6,254900,528477080
71,2,2,10440,23,0,0,2,2,0,3,1468,0,1,4,1468,2,2,6,1,2,0,0,2,2,0,102,9,4,5,271500,528480090
72,13,5,10142,22,5,0,2,2,2,3,956,0,1,4,2084,2,2,8,0,3,2,2,2,2,0,45,9,4,6,233000,531367050
74,13,5,8880,22,5,0,2,2,2,3,948,0,1,4,2110,2,2,8,2,1,0,2,2,2,0,130,9,4,16,205000,531380080
76,13,5,11218,22,0,0,2,2,2,3,1055,0,1,4,1845,2,2,8,1,5,0,2,2,2,635,104,9,4,18,189000,531451280
79,13,5,9453,22,5,0,2,2,2,3,996,0,1,4,1744,2,2,7,0,3,0,2,2,2,370,70,9,4,17,194500,531452180
81,13,5,8400,22,0,130,3,1,2,3,650,4,1,4,1564,2,4,7,1,5,0,3,2,2,0,50,9,4,30,171000,531453040
82,1,4,9800,22,1,0,3,0,5,3,816,4,0,0,1012,1,4,5,0,3,4,3,1,2,121,0,9,4,90,87550,531477050
83,0,6,8930,21,0,0,3,3,3,4,0,4,1,4,1902,2,4,8,0,3,0,3,2,2,0,0,9,4,32,112000,532351140
84,9,5,11782,21,1,0,3,1,5,0,1109,4,1,4,1155,1,2,6,0,3,4,3,2,2,192,0,9,4,49,148000,532354090
85,2,5,8450,21,1,0,3,1,5,3,894,0,1,4,894,1,4,5,1,2,4,3,1,2,416,144,9,4,45,138500,532376160
89,2,5,15410,21,0,250,3,1,5,1,1208,0,1,4,1494,2,4,7,2,1,0,0,2,2,296,0,9,0,36,169000,532479070
90,13,5,10186,17,5,0,2,2,2,3,750,0,1,4,1923,2,2,8,1,5,0,2,2,2,240,39,9,4,18,190000,533130020
92,13,5,11134,17,8,180,2,2,2,3,1390,0,1,4,2225,2,2,7,1,5,0,2,3,2,198,30,9,4,18,285000,533130160
93,3,2,4835,23,5,0,2,2,0,0,1488,0,1,4,1488,2,2,6,1,2,0,0,2,2,168,50,9,4,6,260000,533205060
95,14,2,3215,23,5,120,2,2,2,0,600,0,1,4,1200,2,2,4,0,3,4,2,2,2,0,172,3,4,6,155000,533210060
99,2,2,4403,23,5,432,0,2,0,0,1470,0,1,4,1478,2,2,7,1,2,0,0,2,2,0,144,6,5,1,222000,533213030
100,14,2,2117,23,0,216,2,2,2,3,756,0,1,4,1573,2,2,5,0,3,4,3,2,2,0,32,9,4,10,177500,533221090
102,14,2,2572,23,5,0,2,2,2,3,696,0,1,4,1416,2,2,6,0,3,4,3,2,2,0,44,9,4,11,155000,533223020
103,14,2,2403,23,5,0,2,2,2,3,530,0,1,4,1080,2,2,4,0,3,0,2,2,2,0,50,9,4,7,147110,533223100
105,13,2,7379,23,8,0,2,2,2,3,975,0,1,4,1848,2,2,7,1,5,0,2,2,2,280,184,9,4,10,254000,533244030
106,3,5,4420,10,8,0,2,1,2,1,728,4,1,4,860,1,2,3,1,5,4,0,2,2,133,42,9,4,30,155000,533253060
107,3,5,3880,10,8,0,2,1,2,1,1226,4,1,4,1226,1,2,4,1,5,0,0,2,2,223,78,9,4,32,206000,533253210
108,13,5,13517,21,0,289,2,1,5,3,725,0,1,4,1479,2,2,6,0,3,0,2,2,2,0,44,9,4,34,130500,533352170
110,2,5,10456,19,0,120,3,1,5,3,1829,2,1,4,1829,2,4,8,0,3,0,2,2,2,0,76,9,4,43,218500,534129040
113,5,5,18837,19,0,0,3,2,2,2,1224,4,1,4,1891,3,4,7,1,5,0,2,2,2,0,69,9,4,32,212500,534152070
114,13,5,10421,19,5,42,3,1,2,3,980,4,1,4,1714,2,4,7,1,5,0,3,2,2,228,66,9,4,22,196500,534152100
115,2,5,9360,19,0,0,3,1,5,3,1161,4,1,4,1381,1,2,5,1,5,0,2,2,2,0,0,9,4,38,197500,534176060
116,13,5,9600,19,0,0,3,1,5,3,715,4,1,4,1645,1,4,7,0,3,0,2,2,2,0,78,9,4,39,171000,534176230
117,2,5,9600,15,1,172,3,1,5,3,1232,4,1,4,1232,1,4,6,0,3,0,2,2,2,0,224,9,4,44,142250,534202160
119,2,5,9320,15,2,0,3,1,5,3,950,1,1,4,1225,1,4,6,0,3,6,1,0,2,352,0,9,4,51,128950,534276360
120,2,5,9900,15,1,0,3,2,2,3,1209,2,1,4,1209,1,4,6,0,3,0,2,2,2,0,0,3,4,44,159000,534401110
121,2,5,9680,15,1,268,3,1,5,3,1510,0,1,4,1510,2,2,6,0,3,0,2,2,2,0,40,9,4,43,178900,534401140
122,10,5,10600,15,0,0,3,1,5,3,533,4,1,4,1775,2,4,8,0,3,0,3,2,2,0,172,0,3,46,136300,534403360
123,10,5,14112,15,1,86,3,2,5,0,1152,4,1,4,1152,1,4,6,1,2,0,2,2,2,227,0,9,4,46,180500,534403410
124,9,5,8800,15,0,156,3,2,5,1,936,0,1,4,1054,1,2,6,0,3,0,2,2,2,120,0,9,0,47,137500,534425310
125,0,5,13260,15,1,144,3,1,5,3,1728,4,1,4,1728,2,4,10,0,3,6,1,0,2,0,0,7,0,48,87550,534427010
126,2,5,9717,15,1,0,3,1,5,2,1078,2,1,0,1078,1,2,5,0,3,0,3,1,2,366,0,9,4,60,142125,534430080
127,5,5,9724,15,1,265,2,1,5,3,1140,2,1,4,2461,2,4,7,2,2,4,3,2,2,0,0,9,4,58,197600,534431050
128,5,5,17360,15,0,340,3,1,5,3,782,4,1,4,1556,2,4,6,1,2,0,3,2,2,0,0,9,4,61,172500,534431070
130,1,5,5350,3,4,0,3,1,5,3,728,0,1,4,1306,1,1,6,0,3,6,1,0,2,263,0,9,4,70,87550,534451150
131,2,5,9920,15,1,110,3,1,5,3,1056,4,1,4,1063,1,4,6,0,3,0,2,1,2,0,0,9,4,56,128000,534475100
132,10,5,9600,15,0,164,3,1,5,0,1156,0,1,4,1520,1,4,7,2,2,1,2,1,2,0,0,9,4,55,153000,534476260
133,2,5,7800,15,1,200,3,2,5,3,1268,2,1,4,1268,1,4,7,1,2,0,0,1,2,0,98,9,4,56,132000,534479320
134,9,5,11380,15,0,216,3,1,5,1,1080,2,1,4,1128,1,2,5,1,2,0,3,1,2,238,0,9,4,44,178000,535101020
135,0,5,11600,15,1,361,3,1,5,3,1105,4,1,0,2274,2,4,12,0,3,4,3,2,2,0,0,9,4,50,154300,535106190
136,2,5,19900,15,5,287,3,1,2,1,1947,4,1,4,2207,2,4,7,1,2,0,2,2,2,301,0,9,4,40,180000,535125010
137,2,5,16492,15,0,0,2,1,5,3,1517,0,1,4,1888,2,2,6,1,2,0,0,2,2,0,0,9,4,44,190000,535126040
138,0,5,8267,15,1,0,3,1,5,3,1604,4,1,4,1604,2,4,8,0,3,0,3,2,2,42,0,9,4,52,135000,535152010
139,2,5,8197,15,5,506,2,2,2,3,1480,0,1,4,1480,2,2,7,0,3,0,2,2,2,252,73,9,4,7,214000,535152050
141,2,5,10552,15,1,0,3,1,5,3,1398,2,1,4,1700,1,2,6,1,2,0,2,2,2,0,38,9,4,51,165500,535152150
142,2,5,8400,15,1,0,3,1,5,3,1314,4,1,4,1314,1,4,5,0,3,0,2,1,2,250,0,9,4,53,145000,535152250
143,2,5,8760,15,0,220,3,1,5,3,1194,4,1,4,1194,1,4,6,0,3,0,2,1,2,0,0,9,4,51,148000,535153070
144,2,5,12160,15,1,180,3,1,5,3,1188,1,1,4,1188,1,4,6,0,3,0,2,2,2,0,0,0,0,51,142000,535154050
147,2,5,10032,15,0,432,3,1,5,3,1244,0,1,4,1580,1,4,6,2,2,0,3,2,2,0,28,9,4,51,159500,535179020
148,5,5,8382,15,2,0,3,1,5,3,832,4,1,0,1337,1,4,5,0,3,0,3,1,2,0,0,9,4,54,108000,535180130
149,2,5,10950,15,1,0,3,1,5,3,864,4,1,4,1064,1,1,4,0,3,4,3,1,2,0,0,9,4,58,135000,535302080
151,11,5,13587,15,1,0,3,1,5,0,988,4,1,4,988,1,4,5,0,3,0,3,1,2,0,0,9,0,52,119000,535304060
152,2,5,7922,15,1,0,3,1,5,3,1057,4,1,4,1057,1,2,5,0,3,4,3,1,2,0,52,9,0,57,109000,535304180
153,1,5,7898,15,2,0,3,0,5,3,576,2,1,4,985,1,4,4,0,3,4,3,2,0,0,0,9,4,90,105000,535325400
156,2,5,5868,15,1,0,3,1,5,3,936,0,1,4,936,1,4,4,0,3,0,0,1,2,0,0,9,4,54,129000,535350040
158,0,5,6979,20,0,0,3,1,5,3,1056,2,1,4,1056,0,4,4,0,3,4,3,2,2,264,56,9,4,30,144000,535377090
159,2,5,9830,15,1,0,3,1,5,3,1063,0,1,4,1287,1,2,7,1,2,4,0,2,2,364,17,9,4,51,162000,535401080
160,10,5,11275,15,5,300,2,1,2,3,710,0,1,4,2462,2,2,11,1,2,2,0,2,2,240,0,9,4,43,242000,535425010
161,5,5,8064,15,0,0,3,1,5,3,816,4,1,4,1224,1,4,5,0,3,4,3,1,2,414,0,9,4,62,132000,535450210
162,2,5,7500,15,1,0,3,1,5,3,1246,0,1,4,1246,1,2,6,0,3,0,2,1,2,218,0,9,4,51,154000,535453070
163,5,5,8520,15,1,0,3,1,5,3,910,1,1,4,1385,2,4,6,0,3,4,3,2,2,0,0,9,4,58,166000,535454070
164,2,5,7200,15,1,0,3,1,5,2,900,4,1,4,900,1,2,5,0,3,4,3,2,2,222,32,9,4,59,134800,535456110
165,2,5,10000,15,0,261,3,1,5,3,1116,4,1,4,1116,1,4,5,0,3,0,3,2,2,0,0,9,4,48,160000,535457010
167,2,5,9760,15,0,218,3,1,5,1,1395,4,1,4,1395,1,4,7,1,5,0,2,2,2,657,0,9,4,47,192000,535476350
169,5,6,4800,20,2,771,3,2,5,3,709,4,1,4,1844,1,4,9,2,2,1,3,1,2,84,0,0,0,110,87550,902102100
171,1,6,4485,20,1,0,3,2,5,3,936,4,1,4,936,1,4,5,1,2,6,1,0,1,51,0,9,4,90,109500,902106130
172,1,6,8960,20,1,0,3,1,5,3,1008,2,1,0,1028,1,4,5,1,2,4,3,2,2,0,0,9,4,83,115000,902106140
174,5,6,5790,20,4,0,2,1,1,3,840,2,0,4,1605,2,4,8,0,3,4,3,1,2,0,0,9,4,95,107400,902125080
176,1,6,7200,20,1,294,3,1,5,3,788,4,1,4,860,1,2,4,2,2,0,3,1,2,0,0,9,0,70,119000,902128170
177,5,6,5500,20,1,0,3,0,5,3,926,4,1,4,1316,1,4,6,0,3,4,3,2,2,0,0,9,4,81,130000,902206040
179,5,6,11851,20,1,0,3,0,5,3,1027,0,1,4,1633,1,2,7,1,2,4,3,1,2,0,100,9,4,62,129000,902206220
180,5,6,8239,20,1,0,3,0,5,3,1008,4,1,4,1245,1,4,6,0,3,4,3,1,2,0,0,9,4,90,100000,902206240
181,1,6,9656,20,6,0,3,0,1,3,678,4,0,4,860,1,4,5,1,2,4,3,2,0,0,0,9,0,87,87550,902207130
182,1,6,8520,20,0,0,3,0,5,3,624,2,1,4,860,1,4,5,0,3,4,3,2,2,106,0,9,4,82,105900,902207140
184,5,6,10800,20,1,0,3,2,1,3,686,4,1,4,1652,2,4,7,0,3,4,3,1,2,0,0,9,4,95,139000,902327040
185,12,6,9000,20,8,0,2,4,1,3,346,0,1,4,2268,3,2,7,0,3,4,3,2,0,0,108,9,4,120,240000,902329030
186,11,6,9045,20,1,0,3,0,5,2,840,1,0,1,2256,2,1,12,0,3,6,1,0,0,0,18,9,0,100,87550,902401060
188,12,6,7740,20,2,0,3,1,1,3,622,2,1,4,1363,1,4,6,0,3,4,3,2,2,0,0,9,4,100,125500,902402130
189,11,6,11340,20,2,0,3,2,5,3,777,2,1,4,2290,2,4,11,0,3,4,3,2,0,0,0,9,4,125,122500,902402250
190,12,6,10560,20,0,0,3,1,1,3,738,0,1,4,1470,1,4,6,0,3,4,3,2,2,0,0,9,4,88,140750,902403070
191,5,6,5830,3,1,0,3,1,5,3,988,0,1,4,1612,1,4,7,0,3,4,3,1,2,0,0,9,4,60,128500,903204040
192,15,5,7793,3,5,0,3,0,2,3,1108,4,0,0,2068,1,2,8,1,2,4,3,1,2,0,0,9,4,88,209500,903206120
194,5,6,6000,3,0,0,3,0,5,3,608,4,1,4,1132,1,4,5,0,3,4,3,1,2,0,0,9,0,71,134000,903226160
196,5,6,6360,3,1,300,3,1,5,3,835,4,1,0,1453,1,2,7,2,1,4,3,1,2,0,0,9,4,68,132000,903227150
197,5,6,6000,3,0,0,3,1,5,3,780,4,1,4,1416,1,4,6,0,3,4,3,1,1,221,0,9,4,62,139900,903228150
198,5,6,6240,3,1,0,3,1,5,3,528,2,1,4,1040,1,4,5,0,3,4,0,2,1,306,0,9,4,74,123900,903232190
199,5,6,6240,3,1,0,3,0,5,3,928,4,1,1,1536,2,4,7,1,2,4,3,2,2,0,10,9,4,80,138400,903233120
200,1,6,6120,20,0,0,3,0,1,3,1124,4,1,4,1068,1,4,5,1,2,4,3,1,2,0,0,9,4,87,109500,903234050
201,12,6,10300,20,5,0,3,0,5,3,576,2,1,4,1710,2,4,9,0,3,4,3,2,2,12,11,9,4,89,140000,903425110
202,5,6,8094,20,2,0,3,1,5,3,888,0,1,4,1962,1,4,9,1,5,4,3,2,2,160,0,9,4,95,149500,903426180
206,11,6,5600,11,2,0,1,3,3,4,0,1,0,4,1092,2,1,7,0,3,6,1,0,0,0,0,9,4,80,87550,903454060
207,11,6,7630,20,1,0,3,0,2,3,360,2,1,4,1812,2,2,8,1,4,4,3,2,0,344,0,9,4,110,140000,903476030
208,12,5,24090,4,5,0,3,1,5,2,1032,0,1,4,2403,2,4,10,2,5,0,3,1,2,56,0,0,4,70,244400,904100140
209,2,5,15263,4,1,90,3,1,2,3,1422,2,1,4,1675,2,4,8,2,2,0,3,1,2,0,132,9,4,51,173000,904101110
210,5,5,10632,4,1,0,3,0,2,3,689,2,0,4,1224,1,3,6,0,3,4,3,1,0,0,0,0,4,93,107500,904300150
212,5,5,6001,24,0,0,3,1,1,3,600,0,0,4,919,1,4,5,0,3,4,3,1,2,0,0,9,4,70,95000,904350045
213,12,1,6449,24,2,0,3,1,5,3,707,4,0,4,1884,1,4,7,0,3,6,1,0,0,0,0,9,0,103,93369,904351040
214,11,4,6048,24,1,0,3,0,5,2,856,2,1,4,1680,2,4,7,1,2,4,3,2,1,56,144,0,4,100,114900,904352190
216,0,5,10773,21,2,72,1,1,5,3,1832,4,0,4,1832,2,4,8,0,3,6,1,0,2,0,58,9,4,43,136000,905101300
217,0,5,10778,21,2,0,3,1,5,3,1768,4,0,4,1768,2,4,8,0,3,6,1,0,2,0,0,9,4,42,136500,905101310
218,11,5,11625,21,1,0,3,2,5,2,1039,0,1,4,1039,1,4,6,0,3,0,3,2,2,0,0,9,4,45,131500,905102060
219,2,5,11341,21,1,180,3,1,2,3,1392,4,1,4,1392,1,4,5,1,2,4,3,2,2,0,0,9,4,53,121500,905103060
220,2,5,8521,21,1,0,3,1,5,3,912,4,1,4,912,1,4,5,1,1,4,3,1,2,0,0,9,4,43,125000,905104210
221,2,5,8246,21,1,0,3,1,5,2,1060,0,1,4,1060,1,2,6,1,5,0,3,1,2,406,90,9,4,42,154000,905105070
222,2,5,7800,21,1,47,3,1,5,2,864,0,1,4,892,1,2,5,0,3,4,3,1,2,0,0,9,4,44,137900,905105200
223,13,5,9364,21,0,143,3,1,5,3,663,4,1,4,1352,1,4,7,0,3,0,0,1,2,379,36,9,4,41,158000,905106140
226,13,5,11227,21,1,0,3,1,5,3,720,0,1,4,1440,1,4,7,2,5,0,3,2,2,192,38,9,4,42,163000,905107250
227,13,5,11616,21,0,328,3,1,5,2,672,4,1,4,1386,2,4,6,1,5,0,0,2,2,335,0,9,0,32,158900,905107320
229,2,5,20062,4,5,0,2,1,2,1,1420,2,1,4,1483,1,4,4,2,5,0,2,2,2,496,0,9,4,33,270000,905109170
230,1,5,9259,21,2,0,3,0,1,3,660,4,0,4,860,1,4,4,0,3,4,3,2,0,80,0,9,4,83,87550,905201030
231,2,5,9600,21,2,0,3,1,2,3,1067,4,1,4,1067,2,2,4,0,3,0,3,2,2,290,0,9,4,60,128000,905202090
232,4,5,23595,4,5,0,2,2,2,1,1332,4,1,4,1524,0,2,4,1,5,0,0,2,2,268,0,9,4,31,260000,905325030
233,13,5,17082,4,0,288,3,2,2,0,1117,0,1,4,1981,2,2,8,1,5,0,0,2,2,336,104,9,4,32,230000,905352140
235,1,5,10625,7,1,0,3,0,5,3,458,1,0,4,860,1,4,5,0,3,1,3,1,2,0,0,0,0,90,87550,905426060
236,2,5,11479,7,0,0,3,1,5,3,663,0,1,4,1074,1,2,6,1,5,0,3,1,2,0,52,9,4,60,144500,905426200
238,5,5,9350,7,2,0,3,1,5,3,756,0,1,4,1531,1,4,8,1,5,4,3,1,2,0,0,9,4,63,127000,905452110
239,2,5,9525,7,1,0,3,1,5,0,1172,4,1,4,1172,1,4,5,0,3,0,0,1,2,240,0,9,4,56,128000,905452160
240,2,5,10420,7,0,0,3,2,2,2,1212,0,1,4,1212,2,2,6,0,3,0,2,2,2,100,22,9,4,1,186000,905453040
241,2,5,17485,7,5,96,2,2,2,1,1508,0,1,4,1508,1,2,5,2,5,0,2,2,2,0,0,2,5,1,308030,905453080
242,2,5,11200,7,1,0,3,1,5,2,1250,0,1,4,1298,2,4,5,0,3,4,3,2,0,0,144,0,4,46,114000,905475510
246,13,5,12361,22,0,85,2,2,2,3,946,0,1,4,1802,2,2,8,1,2,5,2,4,2,450,92,9,4,17,218000,906204230
247,13,5,9938,22,5,246,2,2,2,3,1050,0,1,4,1949,2,2,8,1,5,0,0,2,2,156,90,9,4,17,236000,906223090
248,9,5,9069,22,0,0,3,2,2,0,936,0,1,4,996,1,2,5,0,3,0,3,2,2,120,0,9,4,18,147000,906225210
250,2,5,6762,5,5,24,2,2,2,0,1187,0,1,4,1208,2,2,6,0,3,0,2,2,2,105,61,9,4,4,206000,906380190
251,2,5,10402,5,5,0,3,2,2,3,1226,0,1,4,1226,2,2,6,0,3,0,2,3,2,0,36,9,4,1,198900,906385010
252,2,5,7360,5,5,80,2,2,2,3,1222,0,1,4,1222,2,2,6,0,3,0,2,2,2,0,54,9,4,0,187000,906385020
253,13,5,12376,22,5,0,3,2,2,2,1673,2,1,4,2462,3,2,11,2,5,0,3,3,2,367,0,9,4,20,320000,906402200
255,10,5,8816,4,0,80,3,1,5,0,1010,2,1,4,1052,1,4,6,0,3,0,3,2,2,0,0,9,4,39,155000,906477110
256,9,5,11105,5,1,0,3,2,2,0,870,2,1,4,965,1,4,4,0,3,0,3,2,2,71,0,9,4,14,159000,907125090
258,13,5,8750,5,0,116,3,2,2,3,804,0,1,4,1682,2,2,7,0,3,0,2,2,2,0,77,9,4,12,200500,907185060
259,2,5,15240,5,1,0,2,1,2,3,1026,0,1,4,1026,1,4,5,0,3,0,3,1,2,316,85,9,4,33,150000,907200280
260,13,5,10900,5,0,153,3,1,2,3,689,0,1,4,1392,1,4,6,0,3,0,0,1,2,0,36,9,4,33,161750,907200290
261,2,5,10650,5,1,0,3,1,5,0,894,4,1,4,894,1,4,5,0,3,0,3,1,2,365,0,9,4,34,128200,907200340
263,2,5,10389,5,8,320,2,2,2,3,1978,0,1,4,1978,2,2,8,1,2,0,2,3,2,188,25,9,4,7,318000,907250030
264,2,5,11423,5,8,479,2,2,2,0,1581,0,1,4,1601,2,2,6,1,5,0,2,2,2,180,0,9,4,9,272000,907252120
265,13,5,9548,5,5,223,2,2,2,3,941,0,1,4,1829,2,2,7,1,5,0,2,2,2,192,39,9,4,7,237000,907262050
266,13,5,9375,5,5,0,2,2,2,3,1040,0,1,4,2098,2,2,9,1,5,0,0,2,2,331,38,9,4,13,240000,907280040
267,2,5,12137,5,5,442,3,2,2,3,1649,0,1,4,1661,2,2,6,0,3,0,2,2,2,0,34,9,4,12,224900,907290040
268,3,6,4435,5,0,170,2,2,2,0,848,0,1,4,860,1,2,4,0,3,0,0,2,2,140,0,9,4,7,143750,907290170
271,2,5,8400,5,5,109,2,2,2,0,1473,0,1,4,1484,2,2,7,0,3,0,2,2,2,0,35,9,4,6,213000,907410080
