,MS_SubClass,MS_Zoning,Neighborhood,Overall_Qual,Mas_Vnr_Area,Exter_Qual,Foundation,Bsmt_Qual,Bsmt_Exposure,Total_Bsmt_SF,Heating_QC,Central_Air,Electrical,Gr_Liv_Area,Full_Bath,Half_Bath,Kitchen_Qual,TotRms_AbvGrd,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Finish,Garage_Cars,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Sale_Type,Sale_Condition,Latitude,Age_of_Property,Sale_Price,PID
27,2,5,15,2,0,3,1,5,3,864,4,1,4,864,1,0,4,5,1,4,6,1,0,2,0,0,4,4,42.056375,39,115000,527425090
28,3,4,15,5,0,2,2,2,3,1405,0,1,4,1337,2,0,2,5,1,1,0,0,2,2,203,68,9,4,42.055318,11,184000,527427230
29,14,6,2,0,504,3,1,5,3,483,4,1,4,987,1,1,4,5,0,3,4,3,1,2,275,0,0,4,42.051835,39,96000,527451180
30,14,6,2,1,492,3,1,5,3,525,4,1,4,1092,1,1,4,6,0,3,4,3,1,2,0,0,9,4,42.051684,39,105500,527451330
33,14,5,16,0,0,3,1,5,3,855,4,1,4,1456,2,1,2,6,1,5,0,3,2,2,173,0,9,4,42.050683,35,149900,527453130
34,3,5,16,5,0,3,1,2,3,836,0,1,4,861,1,0,4,4,0,3,0,3,1,2,0,30,9,4,42.050681,35,120000,527453150
35,14,5,16,0,0,3,1,2,3,855,1,1,4,1456,2,1,4,7,1,5,0,3,2,2,26,0,9,4,42.049811,32,146000,527454200
36,13,5,18,3,162,0,2,0,3,1590,0,1,4,2334,2,1,0,10,1,2,0,0,3,2,144,133,6,5,42.062352,1,345474,528108120
38,2,5,18,3,450,0,2,0,0,1930,0,1,4,1940,2,1,0,8,1,2,0,0,3,2,168,95,6,5,42.0611331,1,345474,528120060
42,2,5,18,8,240,2,2,0,3,1822,0,1,4,1822,2,0,0,8,1,2,0,2,3,2,0,119,9,4,42.060879,5,259000,528138020
43,2,5,18,5,168,2,2,2,3,1517,0,1,4,1535,2,0,2,7,0,3,0,2,2,2,0,0,9,4,42.060298,6,214000,528138060
44,2,5,18,3,760,0,2,0,1,2330,0,1,4,2364,2,1,0,11,2,2,0,0,3,2,0,67,6,5,42.059617,1,345474,528150070
45,3,5,18,5,128,2,2,2,2,1358,0,1,4,1358,2,0,2,6,1,2,0,2,2,2,192,35,6,5,42.058388,1,224000,528175010
46,2,5,18,3,1095,0,2,0,1,2846,0,1,4,2480,2,1,0,10,2,2,0,0,3,2,220,150,9,4,42.058599,7,345474,528176010
47,13,5,18,8,232,2,2,2,1,1671,0,1,4,2250,2,1,2,7,1,0,0,0,3,2,238,130,9,4,42.057102,8,320000,528176070
48,3,5,18,3,412,0,2,0,3,1752,0,1,4,1752,2,0,0,6,1,2,0,2,2,2,196,82,9,4,42.057164,5,319900,528180070
50,14,5,18,5,106,2,2,2,3,764,0,1,4,1626,2,1,2,6,0,3,2,2,2,2,0,27,9,4,42.057181,7,175500,528188120
51,2,5,8,0,0,2,2,2,3,1324,0,1,4,1324,2,0,2,6,0,3,0,0,2,2,36,23,9,4,42.061928,5,199500,528218150
53,3,5,0,8,16,2,2,2,3,1256,0,1,4,1269,2,0,2,6,1,5,0,0,2,2,146,20,9,4,42.062303,6,192000,528228440
54,10,5,8,5,0,2,2,2,3,384,0,1,4,1374,2,1,2,7,1,2,2,0,2,2,100,0,9,4,42.061443,6,184500,528231020
55,13,5,8,0,0,2,2,2,3,860,0,1,4,1960,2,1,2,8,2,5,2,0,2,2,288,48,9,4,42.060977,8,216500,528240070
56,13,5,8,5,0,2,2,2,3,847,0,1,4,1733,2,1,2,7,1,2,2,0,2,2,144,48,9,4,42.061193,6,185088,528240130
57,10,5,8,5,0,3,2,2,3,384,0,1,4,1430,2,1,4,7,1,5,2,0,2,2,180,0,9,4,42.060936,10,180000,528250100
58,13,5,8,5,180,2,2,2,3,884,0,1,4,2035,2,1,2,8,1,2,2,0,2,2,144,48,9,4,42.057103,9,222500,528292020
59,13,5,17,3,165,2,2,2,3,1393,0,1,4,2480,2,1,2,10,1,5,2,0,3,2,668,30,9,4,42.054386,11,333168,528328100
60,13,5,17,8,114,2,2,0,3,1629,0,1,4,2475,2,1,2,7,1,5,0,0,3,2,23,172,9,4,42.053243,12,345474,528344070
65,5,5,17,8,579,2,2,2,0,2033,0,1,4,2480,2,1,2,9,1,0,0,0,3,2,283,86,9,4,42.050909,15,345474,528386040
66,2,5,23,8,226,2,2,2,4,1595,0,1,4,1595,2,0,2,6,1,2,0,2,3,2,144,0,9,4,42.05306,5,221500,528445060
67,2,2,23,5,0,2,2,2,3,1218,0,1,4,1218,2,0,2,4,0,3,0,2,2,2,0,136,6,5,42.051827,1,204500,528456160
68,13,2,23,5,0,3,2,2,2,756,0,1,4,1547,2,1,2,7,0,3,0,3,2,2,169,45,2,4,42.051653,1,215200,528458070
71,2,2,23,0,0,2,2,0,3,1468,0,1,4,1468,2,0,2,6,1,2,0,0,2,2,0,102,9,4,42.051429,5,271500,528480090
72,13,5,22,5,0,2,2,2,3,956,0,1,4,2084,2,1,2,8,0,3,2,2,2,2,0,45,9,4,42.036255,6,233000,531367050
74,13,5,22,5,0,2,2,2,3,948,0,1,4,2110,2,1,2,8,2,1,0,2,2,2,0,130,9,4,42.036026,16,205000,531380080
79,13,5,22,5,0,2,2,2,3,996,0,1,4,1744,2,1,2,7,0,3,0,2,2,2,370,70,9,4,42.036633,17,194500,531452180
80,2,5,22,0,0,3,2,2,3,1040,4,1,4,1097,2,0,4,6,0,3,0,3,2,2,0,0,9,4,42.034555,26,152000,531453010
81,13,5,22,0,130,3,1,2,3,650,4,1,4,1564,2,1,4,7,1,5,0,3,2,2,0,50,9,4,42.034678,30,171000,531453040
82,1,4,22,1,0,3,0,5,3,816,4,0,0,1012,1,0,4,5,0,3,4,3,1,2,121,0,9,4,42.0360754,90,87000,531477050
83,0,6,21,0,0,3,3,3,4,0,4,1,4,1902,2,0,4,8,0,3,0,3,2,2,0,0,9,4,42.036535,32,112000,532351140
85,2,5,21,1,0,3,1,5,3,894,0,1,4,894,1,0,4,5,1,2,4,3,1,2,416,144,9,4,42.035685,45,138500,532376160
87,2,5,21,1,0,3,1,5,3,1040,1,1,4,1040,1,1,4,5,0,3,0,0,1,2,0,0,9,4,42.03457,47,133000,532377100
88,2,5,21,1,0,3,1,5,3,1040,0,1,4,1040,1,1,4,6,0,3,4,3,1,2,0,104,9,4,42.035333,48,127000,532378110
90,13,5,17,5,0,2,2,2,3,750,0,1,4,1923,2,1,2,8,1,5,0,2,2,2,240,39,9,4,42.048253,18,190000,533130020
91,13,5,17,8,504,2,2,2,3,1231,0,1,4,2349,2,1,2,9,1,5,0,2,3,2,32,130,9,4,42.046825,17,345474,533130130
92,13,5,17,8,180,2,2,2,3,1390,0,1,4,2225,2,1,2,7,1,5,0,2,3,2,198,30,9,4,42.045773,18,285000,533130160
93,3,2,23,5,0,2,2,0,0,1488,0,1,4,1488,2,0,2,6,1,2,0,0,2,2,168,50,9,4,42.047452,6,260000,533205060
94,14,2,23,5,0,2,2,2,3,840,0,1,4,1680,2,1,2,3,0,3,0,2,2,2,0,111,9,4,42.048086,6,190000,533208090
95,14,2,23,5,120,2,2,2,0,600,0,1,4,1200,2,1,2,4,0,3,4,2,2,2,0,172,3,4,42.048566,6,155000,533210060
96,14,2,23,5,0,2,2,2,3,600,0,1,4,1200,2,1,2,4,0,3,4,2,2,2,0,172,9,4,42.047899,6,151000,533212010
97,14,2,23,5,0,2,2,2,3,600,0,1,4,1200,2,1,2,4,0,3,4,2,2,2,0,172,9,4,42.047876,6,149500,533212020
98,14,2,23,0,216,2,2,2,3,600,0,1,4,1236,2,1,2,4,0,3,4,2,2,2,0,166,9,4,42.047782,5,152000,533212060
99,2,2,23,5,432,0,2,0,0,1470,0,1,4,1478,2,1,2,7,1,2,0,0,2,2,0,144,6,5,42.0471748,1,222000,533213030
100,14,2,23,0,216,2,2,2,3,756,0,1,4,1573,2,1,2,5,0,3,4,3,2,2,0,32,9,4,42.046145,10,177500,533221090
102,14,2,23,5,0,2,2,2,3,696,0,1,4,1416,2,1,2,6,0,3,4,3,2,2,0,44,9,4,42.046424,11,155000,533223020
103,14,2,23,5,0,2,2,2,3,530,0,1,4,1080,2,1,2,4,0,3,0,2,2,2,0,50,9,4,42.046114,7,147110,533223100
104,2,2,23,8,0,2,2,0,3,1642,0,1,4,1418,1,1,2,6,1,2,0,2,3,2,160,192,6,5,42.0470316,0,267916,533238045
105,13,2,23,8,0,2,2,2,3,975,0,1,4,1848,2,1,2,7,1,5,0,2,2,2,280,184,9,4,42.04638,10,254000,533244030
107,3,5,10,8,0,2,1,2,1,1226,4,1,4,1226,1,0,2,4,1,5,0,0,2,2,223,78,9,4,42.043704,32,206000,533253210
108,13,5,21,0,289,2,1,5,3,725,0,1,4,1479,2,1,2,6,0,3,0,2,2,2,0,44,9,4,42.034561,34,130500,533352170
109,2,2,23,5,0,2,2,2,3,1492,0,1,4,1492,2,0,2,6,1,2,0,2,2,2,277,137,9,4,42.048606,8,230000,534102025
110,2,5,19,0,120,3,1,5,3,1829,2,1,4,1829,2,0,4,8,0,3,0,2,2,2,0,76,9,4,42.046322,43,218500,534129040
111,13,5,19,0,0,3,2,2,2,1280,0,1,4,2480,2,1,2,9,1,5,0,3,2,2,224,32,9,4,42.043038,17,243500,534151175
117,2,5,15,1,172,3,1,5,3,1232,4,1,4,1232,1,1,4,6,0,3,0,2,2,2,0,224,9,4,42.046574,44,142250,534202160
118,2,5,19,0,451,3,1,5,3,1328,4,1,4,1328,1,1,4,6,2,2,0,3,2,2,0,26,9,4,42.042205,47,143000,534251320
120,2,5,15,1,0,3,2,2,3,1209,2,1,4,1209,1,0,4,6,0,3,0,2,2,2,0,0,3,4,42.039085,44,159000,534401110
121,2,5,15,1,268,3,1,5,3,1510,0,1,4,1510,2,0,2,6,0,3,0,2,2,2,0,40,9,4,42.038971,43,178900,534401140
122,10,5,15,0,0,3,1,5,3,533,4,1,4,1775,2,0,4,8,0,3,0,3,2,2,0,172,0,3,42.040326,46,136300,534403360
124,9,5,15,0,156,3,2,5,1,936,0,1,4,1054,1,0,2,6,0,3,0,2,2,2,120,0,9,0,42.040391,47,137500,534425310
127,5,5,15,1,265,2,1,5,3,1140,2,1,4,2461,2,0,4,7,2,2,4,3,2,2,0,0,9,4,42.039211,58,197600,534431050
128,5,5,15,0,340,3,1,5,3,782,4,1,4,1556,2,0,4,6,1,2,0,3,2,2,0,0,9,4,42.038538,61,172500,534431070
129,2,5,3,1,0,3,1,5,1,858,2,1,4,861,1,0,4,4,0,3,6,1,0,2,117,0,9,4,42.035256,52,116500,534450180
130,1,5,3,4,0,3,1,5,3,728,0,1,4,1306,1,0,1,6,0,3,6,1,0,2,263,0,9,4,42.035482,70,87000,534451150
131,2,5,15,1,110,3,1,5,3,1056,4,1,4,1063,1,0,4,6,0,3,0,2,1,2,0,0,9,4,42.035943,56,128000,534475100
132,10,5,15,0,164,3,1,5,0,1156,0,1,4,1520,1,0,4,7,2,2,1,2,1,2,0,0,9,4,42.036095,55,153000,534476260
133,2,5,15,1,200,3,2,5,3,1268,2,1,4,1268,1,0,4,7,1,2,0,0,1,2,0,98,9,4,42.037424,56,132000,534479320
134,9,5,15,0,216,3,1,5,1,1080,2,1,4,1128,1,0,2,5,1,2,0,3,1,2,238,0,9,4,42.048494,44,178000,535101020
135,0,5,15,1,361,3,1,5,3,1105,4,1,0,2274,2,0,4,12,0,3,4,3,2,2,0,0,9,4,42.0459375,50,154300,535106190
138,0,5,15,1,0,3,1,5,3,1604,4,1,4,1604,2,0,4,8,0,3,0,3,2,2,42,0,9,4,42.044895,52,135000,535152010
140,2,5,15,1,150,3,1,5,3,1143,4,1,4,1143,1,0,4,6,0,3,0,2,1,2,0,0,9,4,42.042908,51,136000,535152130
141,2,5,15,1,0,3,1,5,3,1398,2,1,4,1700,1,1,2,6,1,2,0,2,2,2,0,38,9,4,42.0430839,51,165500,535152150
142,2,5,15,1,0,3,1,5,3,1314,4,1,4,1314,1,0,4,5,0,3,0,2,1,2,250,0,9,4,42.044847,53,145000,535152250
143,2,5,15,0,220,3,1,5,3,1194,4,1,4,1194,1,0,4,6,0,3,0,2,1,2,0,0,9,4,42.043969,51,148000,535153070
144,2,5,15,1,180,3,1,5,3,1188,1,1,4,1188,1,0,4,6,0,3,0,2,2,2,0,0,0,0,42.044052,51,142000,535154050
145,2,5,15,1,324,3,1,5,3,1268,4,1,4,1264,1,0,4,6,2,2,0,3,2,2,0,0,9,4,42.044176,50,167500,535175070
146,2,5,15,1,91,3,1,5,3,1206,1,1,4,1206,1,0,4,6,0,3,0,2,1,2,0,21,9,4,42.044883,51,108538,535175180
147,2,5,15,0,432,3,1,5,3,1244,0,1,4,1580,1,1,4,6,2,2,0,3,2,2,0,28,9,4,42.0435919,51,159500,535179020
148,5,5,15,2,0,3,1,5,3,832,4,1,0,1337,1,0,4,5,0,3,0,3,1,2,0,0,9,4,42.042308,54,108000,535180130
149,2,5,15,1,0,3,1,5,3,864,4,1,4,1064,1,0,1,4,0,3,4,3,1,2,0,0,9,4,42.040396,58,135000,535302080
151,11,5,15,1,0,3,1,5,0,988,4,1,4,988,1,0,4,5,0,3,0,3,1,2,0,0,9,0,42.038515,52,119000,535304060
152,2,5,15,1,0,3,1,5,3,1057,4,1,4,1057,1,0,2,5,0,3,4,3,1,2,0,52,9,0,42.039841,57,109000,535304180
153,1,5,15,2,0,3,0,5,3,576,2,1,4,985,1,0,4,4,0,3,4,3,2,0,0,0,9,4,42.038443,90,105000,535325400
155,2,5,15,1,104,3,1,5,3,1086,2,1,4,1086,1,0,4,6,0,3,0,3,2,2,0,0,9,4,42.038249,56,144900,535350030
157,5,5,15,0,0,3,1,5,3,912,4,1,4,1458,1,0,4,6,1,2,0,3,1,2,192,0,9,0,42.035869,62,97500,535353190
160,10,5,15,5,300,2,1,2,3,710,0,1,4,2480,2,1,2,11,1,2,2,0,2,2,240,0,9,4,42.041119,43,242000,535425010
161,5,5,15,0,0,3,1,5,3,816,4,1,4,1224,1,0,4,5,0,3,4,3,1,2,414,0,9,4,42.035867,62,132000,535450210
163,5,5,15,1,0,3,1,5,3,910,1,1,4,1385,2,0,4,6,0,3,4,3,2,2,0,0,9,4,42.0347571,58,166000,535454070
164,2,5,15,1,0,3,1,5,2,900,4,1,4,900,1,0,2,5,0,3,4,3,2,2,222,32,9,4,42.034848,59,134800,535456110
165,2,5,15,0,261,3,1,5,3,1116,4,1,4,1116,1,1,4,5,0,3,0,3,2,2,0,0,9,4,42.034748,48,160000,535457010
166,2,5,15,1,0,3,1,5,3,1175,0,1,4,1175,1,1,4,6,0,3,4,2,2,2,0,0,9,4,42.034851,50,148000,535457090
167,2,5,15,0,218,3,1,5,1,1395,4,1,4,1395,1,0,4,7,1,5,0,2,2,2,657,0,9,4,42.036873,47,192000,535476350
169,5,6,20,2,771,3,2,5,3,709,4,1,4,1844,1,0,4,9,2,2,1,3,1,2,84,0,0,0,42.033313,110,87000,902102100
171,1,6,20,1,0,3,2,5,3,936,4,1,4,936,1,0,4,5,1,2,6,1,0,1,51,0,9,4,42.031363,90,109500,902106130
172,1,6,20,1,0,3,1,5,3,1008,2,1,0,1028,1,0,4,5,1,2,4,3,2,2,0,0,9,4,42.031381,83,115000,902106140
173,2,6,20,1,0,3,1,5,2,1347,2,1,4,1347,1,0,2,6,0,3,4,3,2,2,0,0,9,4,42.0303783,53,143000,902110090
174,5,6,20,4,0,2,1,1,3,840,2,0,4,1605,2,0,4,8,0,3,4,3,1,2,0,0,9,4,42.033279,95,107400,902125080
176,1,6,20,1,294,3,1,5,3,788,4,1,4,861,1,0,2,4,2,2,0,3,1,2,0,0,9,0,42.032391,70,119000,902128170
177,5,6,20,1,0,3,0,5,3,926,4,1,4,1316,1,0,4,6,0,3,4,3,2,2,0,0,9,4,42.03128,81,130000,902206040
178,7,6,20,0,0,3,2,2,3,827,2,1,4,1251,1,0,1,6,0,3,4,3,1,0,0,0,9,4,42.0303113,72,119000,902206130
179,5,6,20,1,0,3,0,5,3,1027,0,1,4,1633,1,0,2,7,1,2,4,3,1,2,0,100,9,4,42.030383,62,129000,902206220
180,5,6,20,1,0,3,0,5,3,1008,4,1,4,1245,1,0,4,6,0,3,4,3,1,2,0,0,9,4,42.030467,90,100000,902206240
181,1,6,20,6,0,3,0,1,3,678,4,0,4,861,1,0,4,5,1,2,4,3,2,0,0,0,9,0,42.030388,87,87000,902207130
182,1,6,20,0,0,3,0,5,3,624,2,1,4,861,1,0,4,5,0,3,4,3,2,2,106,0,9,4,42.030331,82,105900,902207140
185,12,6,20,8,0,2,4,1,3,346,0,1,4,2268,3,0,2,7,0,3,4,3,2,0,0,108,9,4,42.028145,120,240000,902329030
186,11,6,20,1,0,3,0,5,2,840,1,0,1,2256,2,0,1,12,0,3,6,1,0,0,0,18,9,0,42.028083,100,87000,902401060
187,2,6,20,0,0,3,1,5,3,912,4,1,0,1236,1,0,4,6,0,3,0,3,2,2,0,158,9,4,42.03005,53,149700,902402010
188,12,6,20,2,0,3,1,1,3,622,2,1,4,1363,1,0,4,6,0,3,4,3,2,2,0,0,9,4,42.028164,100,125500,902402130
190,12,6,20,0,0,3,1,1,3,738,0,1,4,1470,1,1,4,6,0,3,4,3,2,2,0,0,9,4,42.028165,88,140750,902403070
191,5,6,3,1,0,3,1,5,3,988,0,1,4,1612,1,1,4,7,0,3,4,3,1,2,0,0,9,4,42.033642,60,128500,903204040
194,5,6,3,0,0,3,0,5,3,608,4,1,4,1132,1,0,4,5,0,3,4,3,1,2,0,0,9,0,42.033563,71,134000,903226160
196,5,6,3,1,300,3,1,5,3,835,4,1,0,1453,1,1,2,7,2,1,4,3,1,2,0,0,9,4,42.033665,68,132000,903227150
197,5,6,3,0,0,3,1,5,3,780,4,1,4,1416,1,1,4,6,0,3,4,3,1,1,221,0,9,4,42.033631,62,139900,903228150
198,5,6,3,1,0,3,1,5,3,528,2,1,4,1040,1,0,4,5,0,3,4,0,2,1,306,0,9,4,42.031556,74,123900,903232190
200,1,6,20,0,0,3,0,1,3,1124,4,1,4,1068,1,0,4,5,1,2,4,3,1,2,0,0,9,4,42.032302,87,109500,903234050
201,12,6,20,5,0,3,0,5,3,576,2,1,4,1710,2,0,4,9,0,3,4,3,2,2,12,11,9,4,42.027986,89,140000,903425110
203,12,6,20,0,0,2,2,5,3,780,0,1,4,1560,1,1,2,7,0,3,6,1,0,0,344,0,9,4,42.028875,98,159900,903426200
204,12,6,20,0,0,3,0,5,3,662,0,1,4,1324,1,0,4,6,0,3,4,3,1,2,0,0,9,4,42.026914,90,122000,903430080
205,0,6,11,1,0,1,1,2,1,816,4,0,4,861,1,0,4,5,0,3,3,3,2,2,106,0,9,4,42.020693,47,110000,903450110
206,11,6,11,2,0,1,3,3,4,0,1,0,4,1092,2,0,1,7,0,3,6,1,0,0,0,0,9,4,42.024141,80,87000,903454060
208,12,5,4,5,0,3,1,5,2,1032,0,1,4,2403,2,0,4,10,2,5,0,3,1,2,56,0,0,4,42.033454,70,244400,904100140
210,5,5,4,1,0,3,0,2,3,689,2,0,4,1224,1,1,3,6,0,3,4,3,1,0,0,0,0,4,42.028256,93,107500,904300150
213,12,1,24,2,0,3,1,5,3,707,4,0,4,1884,1,1,4,7,0,3,6,1,0,0,0,0,9,0,42.025255,103,93369,904351040
214,11,4,24,1,0,3,0,5,2,856,2,1,4,1680,2,0,4,7,1,2,4,3,2,1,56,144,0,4,42.022825,100,114900,904352190
215,5,5,21,1,0,3,1,5,3,780,2,0,4,1020,1,0,4,6,0,3,6,1,0,0,0,0,9,4,42.034451,135,94000,905101100
216,0,5,21,2,72,1,1,5,3,1832,4,0,4,1832,2,0,4,8,0,3,6,1,0,2,0,58,9,4,42.033386,43,136000,905101300
217,0,5,21,2,0,3,1,5,3,1768,4,0,4,1768,2,0,4,8,0,3,6,1,0,2,0,0,9,4,42.033387,42,136500,905101310
218,11,5,21,1,0,3,2,5,2,1039,0,1,4,1039,1,1,4,6,0,3,0,3,2,2,0,0,9,4,42.033008,45,131500,905102060
219,2,5,21,1,180,3,1,2,3,1392,4,1,4,1392,1,1,4,5,1,2,4,3,2,2,0,0,9,4,42.03237,53,121500,905103060
220,2,5,21,1,0,3,1,5,3,912,4,1,4,912,1,0,4,5,1,1,4,3,1,2,0,0,9,4,42.029867,43,125000,905104210
221,2,5,21,1,0,3,1,5,2,1060,0,1,4,1060,1,0,2,6,1,5,0,3,1,2,406,90,9,4,42.03069,42,154000,905105070
223,13,5,21,0,143,3,1,5,3,663,4,1,4,1352,1,1,4,7,0,3,0,0,1,2,379,36,9,4,42.029731,41,158000,905106140
224,2,5,21,1,0,3,1,5,3,864,0,1,4,864,1,0,4,4,0,3,4,3,1,2,226,0,9,4,42.030519,42,137250,905106170
226,13,5,21,1,0,3,1,5,3,720,0,1,4,1440,1,1,4,7,2,5,0,3,2,2,192,38,9,4,42.03136,42,163000,905107250
227,13,5,21,0,328,3,1,5,2,672,4,1,4,1386,2,1,4,6,1,5,0,0,2,2,335,0,9,0,42.03128,32,158900,905107320
229,2,5,4,5,0,2,1,2,1,1420,2,1,4,1483,1,1,4,4,2,5,0,2,2,2,496,0,9,4,42.03009,33,270000,905109170
230,1,5,21,2,0,3,0,1,3,660,4,0,4,861,1,0,4,4,0,3,4,3,2,0,80,0,9,4,42.03387,83,87000,905201030
231,2,5,21,2,0,3,1,2,3,1067,4,1,4,1067,2,0,2,4,0,3,0,3,2,2,290,0,9,4,42.032164,60,128000,905202090
234,5,5,7,4,0,3,1,5,2,972,4,1,0,1610,2,0,1,8,1,2,0,2,1,2,0,0,9,4,42.023079,72,124000,905378040
236,2,5,7,0,0,3,1,5,3,663,0,1,4,1074,1,0,2,6,1,5,0,3,1,2,0,52,9,4,42.026533,60,144500,905426200
238,5,5,7,2,0,3,1,5,3,756,0,1,4,1531,1,0,4,8,1,5,4,3,1,2,0,0,9,4,42.025173,63,127000,905452110
240,2,5,7,0,0,3,2,2,2,1212,0,1,4,1212,2,0,2,6,0,3,0,2,2,2,100,22,9,4,42.0247497,1,186000,905453040
241,2,5,7,5,96,2,2,2,1,1508,0,1,4,1508,1,0,2,5,2,5,0,2,2,2,0,0,2,5,42.024126,1,308030,905453080
242,2,5,7,1,0,3,1,5,2,1250,0,1,4,1298,2,0,4,5,0,3,4,3,2,0,0,144,0,4,42.025019,46,114000,905475510
244,13,5,22,0,336,2,1,2,3,741,4,1,4,1732,2,1,2,7,1,5,0,0,2,2,192,46,9,4,42.03374,25,178000,906201030
246,13,5,22,0,85,2,2,2,3,946,0,1,4,1802,2,1,2,8,1,2,5,2,4,2,450,92,9,4,42.033783,17,218000,906204230
248,9,5,22,0,0,3,2,2,0,936,0,1,4,996,1,0,2,5,0,3,0,3,2,2,120,0,9,4,42.0311198,18,147000,906225210
249,2,5,5,8,72,2,2,2,0,1694,0,1,4,1694,2,0,2,7,0,3,0,2,3,2,160,33,9,4,42.025747,2,245350,906378100
250,2,5,5,5,24,2,2,2,0,1187,0,1,4,1208,2,0,2,6,0,3,0,2,2,2,105,61,9,4,42.024614,4,206000,906380190
251,2,5,5,5,0,3,2,2,3,1226,0,1,4,1226,2,0,2,6,0,3,0,2,3,2,0,36,9,4,42.024604,1,198900,906385010
252,2,5,5,5,80,2,2,2,3,1222,0,1,4,1222,2,0,2,6,0,3,0,2,2,2,0,54,9,4,42.024604,0,187000,906385020
253,13,5,22,5,0,3,2,2,2,1673,2,1,4,2480,3,0,2,11,2,5,0,3,3,2,367,0,9,4,42.030601,20,320000,906402200
254,5,5,22,0,0,3,2,1,3,676,4,1,4,1445,2,0,4,6,0,3,4,3,2,0,0,59,9,4,42.0298532,110,138500,906425045
255,10,5,4,0,80,3,1,5,0,1010,2,1,4,1052,1,0,4,6,0,3,0,3,2,2,0,0,9,4,42.024318,39,155000,906477110
256,9,5,5,1,0,3,2,2,0,870,2,1,4,965,1,0,4,4,0,3,0,3,2,2,71,0,9,4,42.021321,14,159000,907125090
257,13,5,5,5,0,3,2,2,3,878,0,1,4,1692,2,1,4,8,1,5,0,2,2,2,0,39,9,4,42.018411,13,191000,907180050
258,13,5,5,0,116,3,2,2,3,804,0,1,4,1682,2,1,2,7,0,3,0,2,2,2,0,77,9,4,42.01867,12,200500,907185060
