,MS_SubClass,MS_Zoning,Neighborhood,Overall_Qual,Mas_Vnr_Area,Exter_Qual,Foundation,Bsmt_Qual,Bsmt_Exposure,Total_Bsmt_SF,Heating_QC,Central_Air,Electrical,Gr_Liv_Area,Full_Bath,Kitchen_Qual,TotRms_AbvGrd,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Finish,Garage_Cars,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Sale_Type,Sale_Condition,Age_of_Property,Sale_Price,PID
41,2,5,18,3,615,2,2,0,3,1698,0,1,4,1698,2,0,7,1,2,0,0,3,2,192,74,9,4,5,275000,528120120
42,2,5,18,8,240,2,2,0,3,1822,0,1,4,1822,2,0,8,1,2,0,2,3,2,0,119,9,4,5,259000,528138020
43,2,5,18,5,168,2,2,2,3,1517,0,1,4,1535,2,2,7,0,3,0,2,2,2,0,0,9,4,6,214000,528138060
45,3,5,18,5,128,2,2,2,2,1358,0,1,4,1358,2,2,6,1,2,0,2,2,2,192,35,6,5,1,224000,528175010
48,3,5,18,3,412,0,2,0,3,1752,0,1,4,1752,2,0,6,1,2,0,2,2,2,196,82,9,4,5,319900,528180070
49,3,5,18,8,178,2,2,2,2,1370,0,1,4,1370,2,2,6,1,2,0,2,2,2,120,49,9,4,4,205000,528181050
50,14,5,18,5,106,2,2,2,3,764,0,1,4,1626,2,2,6,0,3,2,2,2,2,0,27,9,4,7,175500,528188120
51,2,5,8,0,0,2,2,2,3,1324,0,1,4,1324,2,2,6,0,3,0,0,2,2,36,23,9,4,5,199500,528218150
52,3,5,0,5,14,2,2,2,0,1145,0,1,4,1145,2,2,6,0,3,0,0,2,2,100,116,9,4,4,160000,528228285
56,13,5,8,5,0,2,2,2,3,847,0,1,4,1733,2,2,7,1,2,2,0,2,2,144,48,9,4,6,185088,528240130
57,10,5,8,5,0,3,2,2,3,384,0,1,4,1430,2,4,7,1,5,2,0,2,2,180,0,9,4,10,180000,528250100
58,13,5,8,5,180,2,2,2,3,884,0,1,4,2035,2,2,8,1,2,2,0,2,2,144,48,9,4,9,222500,528292020
59,13,5,17,3,165,2,2,2,3,1393,0,1,4,2486,2,2,10,1,5,2,0,3,2,668,30,9,4,11,333168,528328100
60,13,5,17,8,114,2,2,0,3,1629,0,1,4,2475,2,2,7,1,5,0,0,3,2,23,172,9,4,12,339750,528344070
61,2,5,17,5,338,2,2,2,3,1720,0,1,4,1720,2,2,7,1,5,0,0,2,2,240,56,9,4,14,260400,528358010
62,13,5,17,8,362,2,2,0,0,1463,0,1,4,2486,2,2,9,2,5,0,2,2,2,186,32,9,4,16,325000,528363130
64,13,5,17,5,30,2,2,2,3,1195,2,1,4,1839,2,4,7,0,3,0,0,2,2,0,81,9,4,12,221000,528382030
65,5,5,17,8,579,2,2,2,0,2033,0,1,4,2486,2,2,9,1,0,0,0,3,2,283,86,9,4,15,339750,528386040
67,2,2,23,5,0,2,2,2,3,1218,0,1,4,1218,2,2,4,0,3,0,2,2,2,0,136,6,5,1,204500,528456160
68,13,2,23,5,0,3,2,2,2,756,0,1,4,1547,2,2,7,0,3,0,3,2,2,169,45,2,4,1,215200,528458070
70,13,2,23,5,0,2,2,2,3,991,0,1,4,1947,2,2,8,1,2,0,2,2,2,0,136,9,4,6,254900,528477080
71,2,2,23,0,0,2,2,0,3,1468,0,1,4,1468,2,2,6,1,2,0,0,2,2,0,102,9,4,5,271500,528480090
72,13,5,22,5,0,2,2,2,3,956,0,1,4,2084,2,2,8,0,3,2,2,2,2,0,45,9,4,6,233000,531367050
73,13,5,22,5,122,2,2,2,0,831,0,1,4,1659,2,2,8,0,3,0,2,2,2,144,68,9,4,6,181000,531369060
76,13,5,22,0,0,2,2,2,3,1055,0,1,4,1845,2,2,8,1,5,0,2,2,2,635,104,9,4,18,189000,531451280
78,3,5,22,0,0,3,1,2,3,744,4,1,4,858,1,4,4,0,3,0,3,1,2,353,0,9,4,26,125000,531452050
79,13,5,22,5,0,2,2,2,3,996,0,1,4,1744,2,2,7,0,3,0,2,2,2,370,70,9,4,17,194500,531452180
81,13,5,22,0,130,3,1,2,3,650,4,1,4,1564,2,4,7,1,5,0,3,2,2,0,50,9,4,30,171000,531453040
82,1,4,22,1,0,3,0,5,3,816,4,0,0,1012,1,4,5,0,3,4,3,1,2,121,0,9,4,90,88000,531477050
83,0,6,21,0,0,3,3,3,4,0,4,1,4,1902,2,4,8,0,3,0,3,2,2,0,0,9,4,32,112000,532351140
84,9,5,21,1,0,3,1,5,0,1109,4,1,4,1155,1,2,6,0,3,4,3,2,2,192,0,9,4,49,148000,532354090
87,2,5,21,1,0,3,1,5,3,1040,1,1,4,1040,1,4,5,0,3,0,0,1,2,0,0,9,4,47,133000,532377100
88,2,5,21,1,0,3,1,5,3,1040,0,1,4,1040,1,4,6,0,3,4,3,1,2,0,104,9,4,48,127000,532378110
89,2,5,21,0,250,3,1,5,1,1208,0,1,4,1494,2,4,7,2,1,0,0,2,2,296,0,9,0,36,169000,532479070
90,13,5,17,5,0,2,2,2,3,750,0,1,4,1923,2,2,8,1,5,0,2,2,2,240,39,9,4,18,190000,533130020
91,13,5,17,8,504,2,2,2,3,1231,0,1,4,2349,2,2,9,1,5,0,2,3,2,32,130,9,4,17,339750,533130130
94,14,2,23,5,0,2,2,2,3,840,0,1,4,1680,2,2,3,0,3,0,2,2,2,0,111,9,4,6,190000,533208090
97,14,2,23,5,0,2,2,2,3,600,0,1,4,1200,2,2,4,0,3,4,2,2,2,0,172,9,4,6,149500,533212020
99,2,2,23,5,432,0,2,0,0,1470,0,1,4,1478,2,2,7,1,2,0,0,2,2,0,144,6,5,1,222000,533213030
100,14,2,23,0,216,2,2,2,3,756,0,1,4,1573,2,2,5,0,3,4,3,2,2,0,32,9,4,10,177500,533221090
101,14,2,23,0,1159,2,2,2,3,756,0,1,4,1512,2,2,5,0,3,4,3,2,2,0,32,9,4,10,177000,533221110
102,14,2,23,5,0,2,2,2,3,696,0,1,4,1416,2,2,6,0,3,4,3,2,2,0,44,9,4,11,155000,533223020
103,14,2,23,5,0,2,2,2,3,530,0,1,4,1080,2,2,4,0,3,0,2,2,2,0,50,9,4,7,147110,533223100
104,2,2,23,8,0,2,2,0,3,1642,0,1,4,1418,1,2,6,1,2,0,2,3,2,160,192,6,5,0,267916,533238045
106,3,5,10,8,0,2,1,2,1,728,4,1,4,858,1,2,3,1,5,4,0,2,2,133,42,9,4,30,155000,533253060
109,2,2,23,5,0,2,2,2,3,1492,0,1,4,1492,2,2,6,1,2,0,2,2,2,277,137,9,4,8,230000,534102025
110,2,5,19,0,120,3,1,5,3,1829,2,1,4,1829,2,4,8,0,3,0,2,2,2,0,76,9,4,43,218500,534129040
112,2,5,19,0,28,3,2,5,2,1610,2,1,4,1610,2,2,6,2,5,0,2,2,2,168,68,9,4,33,205000,534152050
113,5,5,19,0,0,3,2,2,2,1224,4,1,4,1891,3,4,7,1,5,0,2,2,2,0,69,9,4,32,212500,534152070
114,13,5,19,5,42,3,1,2,3,980,4,1,4,1714,2,4,7,1,5,0,3,2,2,228,66,9,4,22,196500,534152100
115,2,5,19,0,0,3,1,5,3,1161,4,1,4,1381,1,2,5,1,5,0,2,2,2,0,0,9,4,38,197500,534176060
116,13,5,19,0,0,3,1,5,3,715,4,1,4,1645,1,4,7,0,3,0,2,2,2,0,78,9,4,39,171000,534176230
118,2,5,19,0,451,3,1,5,3,1328,4,1,4,1328,1,4,6,2,2,0,3,2,2,0,26,9,4,47,143000,534251320
120,2,5,15,1,0,3,2,2,3,1209,2,1,4,1209,1,4,6,0,3,0,2,2,2,0,0,3,4,44,159000,534401110
122,10,5,15,0,0,3,1,5,3,533,4,1,4,1775,2,4,8,0,3,0,3,2,2,0,172,0,3,46,136300,534403360
123,10,5,15,1,86,3,2,5,0,1152,4,1,4,1152,1,4,6,1,2,0,2,2,2,227,0,9,4,46,180500,534403410
125,0,5,15,1,144,3,1,5,3,1728,4,1,4,1728,2,4,10,0,3,6,1,0,2,0,0,7,0,48,88000,534427010
126,2,5,15,1,0,3,1,5,2,1078,2,1,0,1078,1,2,5,0,3,0,3,1,2,366,0,9,4,60,142125,534430080
129,2,5,3,1,0,3,1,5,1,858,2,1,4,858,1,4,4,0,3,6,1,0,2,117,0,9,4,52,116500,534450180
130,1,5,3,4,0,3,1,5,3,728,0,1,4,1306,1,1,6,0,3,6,1,0,2,263,0,9,4,70,88000,534451150
131,2,5,15,1,110,3,1,5,3,1056,4,1,4,1063,1,4,6,0,3,0,2,1,2,0,0,9,4,56,128000,534475100
133,2,5,15,1,200,3,2,5,3,1268,2,1,4,1268,1,4,7,1,2,0,0,1,2,0,98,9,4,56,132000,534479320
134,9,5,15,0,216,3,1,5,1,1080,2,1,4,1128,1,2,5,1,2,0,3,1,2,238,0,9,4,44,178000,535101020
136,2,5,15,5,287,3,1,2,1,1947,4,1,4,2207,2,4,7,1,2,0,2,2,2,301,0,9,4,40,180000,535125010
137,2,5,15,0,0,2,1,5,3,1517,0,1,4,1888,2,2,6,1,2,0,0,2,2,0,0,9,4,44,190000,535126040
138,0,5,15,1,0,3,1,5,3,1604,4,1,4,1604,2,4,8,0,3,0,3,2,2,42,0,9,4,52,135000,535152010
140,2,5,15,1,150,3,1,5,3,1143,4,1,4,1143,1,4,6,0,3,0,2,1,2,0,0,9,4,51,136000,535152130
141,2,5,15,1,0,3,1,5,3,1398,2,1,4,1700,1,2,6,1,2,0,2,2,2,0,38,9,4,51,165500,535152150
142,2,5,15,1,0,3,1,5,3,1314,4,1,4,1314,1,4,5,0,3,0,2,1,2,250,0,9,4,53,145000,535152250
143,2,5,15,0,220,3,1,5,3,1194,4,1,4,1194,1,4,6,0,3,0,2,1,2,0,0,9,4,51,148000,535153070
144,2,5,15,1,180,3,1,5,3,1188,1,1,4,1188,1,4,6,0,3,0,2,2,2,0,0,0,0,51,142000,535154050
145,2,5,15,1,324,3,1,5,3,1268,4,1,4,1264,1,4,6,2,2,0,3,2,2,0,0,9,4,50,167500,535175070
146,2,5,15,1,91,3,1,5,3,1206,1,1,4,1206,1,4,6,0,3,0,2,1,2,0,21,9,4,51,108538,535175180
147,2,5,15,0,432,3,1,5,3,1244,0,1,4,1580,1,4,6,2,2,0,3,2,2,0,28,9,4,51,159500,535179020
148,5,5,15,2,0,3,1,5,3,832,4,1,0,1337,1,4,5,0,3,0,3,1,2,0,0,9,4,54,108000,535180130
149,2,5,15,1,0,3,1,5,3,864,4,1,4,1064,1,1,4,0,3,4,3,1,2,0,0,9,4,58,135000,535302080
150,2,5,15,1,0,3,1,5,3,972,4,1,4,972,1,4,5,0,3,0,3,1,2,0,0,9,4,55,122500,535302200
152,2,5,15,1,0,3,1,5,3,1057,4,1,4,1057,1,2,5,0,3,4,3,1,2,0,52,9,0,57,109000,535304180
153,1,5,15,2,0,3,0,5,3,576,2,1,4,985,1,4,4,0,3,4,3,2,0,0,0,9,4,90,105000,535325400
154,2,5,15,1,0,3,3,3,4,0,0,1,4,858,1,4,5,1,4,4,3,1,2,0,0,9,4,55,107500,535327140
155,2,5,15,1,104,3,1,5,3,1086,2,1,4,1086,1,4,6,0,3,0,3,2,2,0,0,9,4,56,144900,535350030
156,2,5,15,1,0,3,1,5,3,936,0,1,4,936,1,4,4,0,3,0,0,1,2,0,0,9,4,54,129000,535350040
157,5,5,15,0,0,3,1,5,3,912,4,1,4,1458,1,4,6,1,2,0,3,1,2,192,0,9,0,62,97500,535353190
158,0,5,20,0,0,3,1,5,3,1056,2,1,4,1056,0,4,4,0,3,4,3,2,2,264,56,9,4,30,144000,535377090
159,2,5,15,1,0,3,1,5,3,1063,0,1,4,1287,1,2,7,1,2,4,0,2,2,364,17,9,4,51,162000,535401080
160,10,5,15,5,300,2,1,2,3,710,0,1,4,2486,2,2,11,1,2,2,0,2,2,240,0,9,4,43,242000,535425010
162,2,5,15,1,0,3,1,5,3,1246,0,1,4,1246,1,2,6,0,3,0,2,1,2,218,0,9,4,51,154000,535453070
163,5,5,15,1,0,3,1,5,3,910,1,1,4,1385,2,4,6,0,3,4,3,2,2,0,0,9,4,58,166000,535454070
165,2,5,15,0,261,3,1,5,3,1116,4,1,4,1116,1,4,5,0,3,0,3,2,2,0,0,9,4,48,160000,535457010
167,2,5,15,0,218,3,1,5,1,1395,4,1,4,1395,1,4,7,1,5,0,2,2,2,657,0,9,4,47,192000,535476350
168,13,5,15,0,351,3,1,5,3,756,4,1,4,1839,1,4,7,1,5,0,3,2,2,0,124,9,4,44,155000,535477020
169,5,6,20,2,771,3,2,5,3,709,4,1,4,1844,1,4,9,2,2,1,3,1,2,84,0,0,0,110,88000,902102100
170,5,6,20,2,0,3,0,5,3,576,2,1,4,1140,1,4,7,0,3,6,1,0,0,0,160,9,4,100,96500,902104060
171,1,6,20,1,0,3,2,5,3,936,4,1,4,936,1,4,5,1,2,6,1,0,1,51,0,9,4,90,109500,902106130
172,1,6,20,1,0,3,1,5,3,1008,2,1,0,1028,1,4,5,1,2,4,3,2,2,0,0,9,4,83,115000,902106140
173,2,6,20,1,0,3,1,5,2,1347,2,1,4,1347,1,2,6,0,3,4,3,2,2,0,0,9,4,53,143000,902110090
174,5,6,20,4,0,2,1,1,3,840,2,0,4,1605,2,4,8,0,3,4,3,1,2,0,0,9,4,95,107400,902125080
176,1,6,20,1,294,3,1,5,3,788,4,1,4,858,1,2,4,2,2,0,3,1,2,0,0,9,0,70,119000,902128170
177,5,6,20,1,0,3,0,5,3,926,4,1,4,1316,1,4,6,0,3,4,3,2,2,0,0,9,4,81,130000,902206040
178,7,6,20,0,0,3,2,2,3,827,2,1,4,1251,1,1,6,0,3,4,3,1,0,0,0,9,4,72,119000,902206130
181,1,6,20,6,0,3,0,1,3,678,4,0,4,858,1,4,5,1,2,4,3,2,0,0,0,9,0,87,88000,902207130
182,1,6,20,0,0,3,0,5,3,624,2,1,4,858,1,4,5,0,3,4,3,2,2,106,0,9,4,82,105900,902207140
183,12,6,20,8,0,2,0,5,3,930,4,0,4,1566,2,2,7,0,3,4,3,1,2,54,228,9,0,110,150000,902305110
184,5,6,20,1,0,3,2,1,3,686,4,1,4,1652,2,4,7,0,3,4,3,1,2,0,0,9,4,95,139000,902327040
185,12,6,20,8,0,2,4,1,3,346,0,1,4,2268,3,2,7,0,3,4,3,2,0,0,108,9,4,120,240000,902329030
187,2,6,20,0,0,3,1,5,3,912,4,1,0,1236,1,4,6,0,3,0,3,2,2,0,158,9,4,53,149700,902402010
189,11,6,20,2,0,3,2,5,3,777,2,1,4,2290,2,4,11,0,3,4,3,2,0,0,0,9,4,125,122500,902402250
190,12,6,20,0,0,3,1,1,3,738,0,1,4,1470,1,4,6,0,3,4,3,2,2,0,0,9,4,88,140750,902403070
191,5,6,3,1,0,3,1,5,3,988,0,1,4,1612,1,4,7,0,3,4,3,1,2,0,0,9,4,60,128500,903204040
192,15,5,3,5,0,3,0,2,3,1108,4,0,0,2068,1,2,8,1,2,4,3,1,2,0,0,9,4,88,209500,903206120
194,5,6,3,0,0,3,0,5,3,608,4,1,4,1132,1,4,5,0,3,4,3,1,2,0,0,9,0,71,134000,903226160
195,5,6,3,0,0,3,1,5,3,572,0,1,0,1196,1,4,6,2,2,4,3,2,2,0,0,9,4,70,128000,903227020
196,5,6,3,1,300,3,1,5,3,835,4,1,0,1453,1,2,7,2,1,4,3,1,2,0,0,9,4,68,132000,903227150
197,5,6,3,0,0,3,1,5,3,780,4,1,4,1416,1,4,6,0,3,4,3,1,1,221,0,9,4,62,139900,903228150
199,5,6,3,1,0,3,0,5,3,928,4,1,1,1536,2,4,7,1,2,4,3,2,2,0,10,9,4,80,138400,903233120
200,1,6,20,0,0,3,0,1,3,1124,4,1,4,1068,1,4,5,1,2,4,3,1,2,0,0,9,4,87,109500,903234050
201,12,6,20,5,0,3,0,5,3,576,2,1,4,1710,2,4,9,0,3,4,3,2,2,12,11,9,4,89,140000,903425110
202,5,6,20,2,0,3,1,5,3,888,0,1,4,1962,1,4,9,1,5,4,3,2,2,160,0,9,4,95,149500,903426180
204,12,6,20,0,0,3,0,5,3,662,0,1,4,1324,1,4,6,0,3,4,3,1,2,0,0,9,4,90,122000,903430080
205,0,6,11,1,0,1,1,2,1,816,4,0,4,858,1,4,5,0,3,3,3,2,2,106,0,9,4,47,110000,903450110
206,11,6,11,2,0,1,3,3,4,0,1,0,4,1092,2,1,7,0,3,6,1,0,0,0,0,9,4,80,88000,903454060
208,12,5,4,5,0,3,1,5,2,1032,0,1,4,2403,2,4,10,2,5,0,3,1,2,56,0,0,4,70,244400,904100140
209,2,5,4,1,90,3,1,2,3,1422,2,1,4,1675,2,4,8,2,2,0,3,1,2,0,132,9,4,51,173000,904101110
210,5,5,4,1,0,3,0,2,3,689,2,0,4,1224,1,3,6,0,3,4,3,1,0,0,0,0,4,93,107500,904300150
211,11,5,24,1,0,1,0,5,3,1212,4,0,4,1392,1,4,6,0,3,6,1,0,0,0,0,3,4,95,100000,904302260
213,12,1,24,2,0,3,1,5,3,707,4,0,4,1884,1,4,7,0,3,6,1,0,0,0,0,9,0,103,93369,904351040
215,5,5,21,1,0,3,1,5,3,780,2,0,4,1020,1,4,6,0,3,6,1,0,0,0,0,9,4,135,94000,905101100
217,0,5,21,2,0,3,1,5,3,1768,4,0,4,1768,2,4,8,0,3,6,1,0,2,0,0,9,4,42,136500,905101310
220,2,5,21,1,0,3,1,5,3,912,4,1,4,912,1,4,5,1,1,4,3,1,2,0,0,9,4,43,125000,905104210
221,2,5,21,1,0,3,1,5,2,1060,0,1,4,1060,1,2,6,1,5,0,3,1,2,406,90,9,4,42,154000,905105070
222,2,5,21,1,47,3,1,5,2,864,0,1,4,892,1,2,5,0,3,4,3,1,2,0,0,9,4,44,137900,905105200
223,13,5,21,0,143,3,1,5,3,663,4,1,4,1352,1,4,7,0,3,0,0,1,2,379,36,9,4,41,158000,905106140
224,2,5,21,1,0,3,1,5,3,864,0,1,4,864,1,4,4,0,3,4,3,1,2,226,0,9,4,42,137250,905106170
225,0,5,21,1,0,3,1,2,0,1319,4,1,4,1373,1,4,5,2,5,0,0,2,2,0,0,9,4,32,160250,905107110
226,13,5,21,1,0,3,1,5,3,720,0,1,4,1440,1,4,7,2,5,0,3,2,2,192,38,9,4,42,163000,905107250
227,13,5,21,0,328,3,1,5,2,672,4,1,4,1386,2,4,6,1,5,0,0,2,2,335,0,9,0,32,158900,905107320
231,2,5,21,2,0,3,1,2,3,1067,4,1,4,1067,2,2,4,0,3,0,3,2,2,290,0,9,4,60,128000,905202090
232,4,5,4,5,0,2,2,2,1,1332,4,1,4,1524,0,2,4,1,5,0,0,2,2,268,0,9,4,31,260000,905325030
233,13,5,4,0,288,3,2,2,0,1117,0,1,4,1981,2,2,8,1,5,0,0,2,2,336,104,9,4,32,230000,905352140
234,5,5,7,4,0,3,1,5,2,972,4,1,0,1610,2,1,8,1,2,0,2,1,2,0,0,9,4,72,124000,905378040
235,1,5,7,1,0,3,0,5,3,458,1,0,4,858,1,4,5,0,3,1,3,1,2,0,0,0,0,90,88000,905426060
236,2,5,7,0,0,3,1,5,3,663,0,1,4,1074,1,2,6,1,5,0,3,1,2,0,52,9,4,60,144500,905426200
237,2,5,7,1,0,3,1,5,0,1144,4,1,4,1144,1,4,6,0,3,0,3,1,2,44,0,9,4,54,129000,905451320
238,5,5,7,2,0,3,1,5,3,756,0,1,4,1531,1,4,8,1,5,4,3,1,2,0,0,9,4,63,127000,905452110
239,2,5,7,1,0,3,1,5,0,1172,4,1,4,1172,1,4,5,0,3,0,0,1,2,240,0,9,4,56,128000,905452160
240,2,5,7,0,0,3,2,2,2,1212,0,1,4,1212,2,2,6,0,3,0,2,2,2,100,22,9,4,1,186000,905453040
241,2,5,7,5,96,2,2,2,1,1508,0,1,4,1508,1,2,5,2,5,0,2,2,2,0,0,2,5,1,308030,905453080
242,2,5,7,1,0,3,1,5,2,1250,0,1,4,1298,2,4,5,0,3,4,3,2,0,0,144,0,4,46,114000,905475510
244,13,5,22,0,336,2,1,2,3,741,4,1,4,1732,2,2,7,1,5,0,0,2,2,192,46,9,4,25,178000,906201030
245,2,5,22,5,177,2,1,2,1,1433,0,1,4,1433,1,2,4,2,5,0,2,2,2,0,278,9,4,23,270000,906201120
246,13,5,22,0,85,2,2,2,3,946,0,1,4,1802,2,2,8,1,2,5,2,4,2,450,92,9,4,17,218000,906204230
248,9,5,22,0,0,3,2,2,0,936,0,1,4,996,1,2,5,0,3,0,3,2,2,120,0,9,4,18,147000,906225210
250,2,5,5,5,24,2,2,2,0,1187,0,1,4,1208,2,2,6,0,3,0,2,2,2,105,61,9,4,4,206000,906380190
252,2,5,5,5,80,2,2,2,3,1222,0,1,4,1222,2,2,6,0,3,0,2,2,2,0,54,9,4,0,187000,906385020
257,13,5,5,5,0,3,2,2,3,878,0,1,4,1692,2,4,8,1,5,0,2,2,2,0,39,9,4,13,191000,907180050
259,2,5,5,1,0,2,1,2,3,1026,0,1,4,1026,1,4,5,0,3,0,3,1,2,316,85,9,4,33,150000,907200280
260,13,5,5,0,153,3,1,2,3,689,0,1,4,1392,1,4,6,0,3,0,0,1,2,0,36,9,4,33,161750,907200290
262,2,5,5,1,0,3,1,5,0,876,4,1,4,876,1,4,5,0,3,4,3,2,2,0,0,9,4,38,127000,907203070
263,2,5,5,8,320,2,2,2,3,1978,0,1,4,1978,2,2,8,1,2,0,2,3,2,188,25,9,4,7,318000,907250030
264,2,5,5,8,479,2,2,2,0,1581,0,1,4,1601,2,2,6,1,5,0,2,2,2,180,0,9,4,9,272000,907252120
265,13,5,5,5,223,2,2,2,3,941,0,1,4,1829,2,2,7,1,5,0,2,2,2,192,39,9,4,7,237000,907262050
266,13,5,5,5,0,2,2,2,3,1040,0,1,4,2098,2,2,9,1,5,0,0,2,2,331,38,9,4,13,240000,907280040
269,3,6,5,0,169,2,2,2,0,848,0,1,4,858,1,2,3,0,3,0,2,2,2,160,0,9,4,6,143000,907290240
270,2,5,5,8,171,2,2,2,0,1657,0,1,4,1668,2,2,8,1,5,0,0,2,2,0,262,9,4,7,232000,907401090
271,2,5,5,5,109,2,2,2,0,1473,0,1,4,1484,2,2,7,0,3,0,2,2,2,0,35,9,4,6,213000,907410080
273,1,5,7,4,0,3,1,3,4,0,4,0,4,858,1,4,5,0,3,4,3,1,0,0,0,3,4,65,88000,908102060
274,2,5,7,1,0,3,1,1,3,381,0,1,4,992,1,4,6,0,3,4,3,1,2,60,0,7,0,56,155891,908102110
275,0,5,7,1,0,3,1,3,4,0,4,0,4,1664,2,4,8,0,3,6,1,0,2,0,0,9,4,45,100000,908102130
276,2,5,7,1,0,3,1,2,1,1196,4,1,4,1196,1,4,6,0,3,0,2,1,2,257,0,9,4,42,144000,908102170
278,10,5,7,0,0,3,1,5,0,1008,4,1,4,1096,1,4,5,1,1,4,3,1,2,0,0,9,4,35,125200,908103350
279,10,5,7,0,0,3,1,5,0,1029,4,1,4,1117,1,4,6,1,5,4,3,2,2,144,0,9,0,34,107000,908152080
