,MS_SubClass,MS_Zoning,Neighborhood,Overall_Qual,Mas_Vnr_Area,Exter_Qual,Foundation,Bsmt_Qual,Bsmt_Exposure,Total_Bsmt_SF,Heating_QC,Central_Air,Electrical,Gr_Liv_Area,Full_Bath,Kitchen_Qual,TotRms_AbvGrd,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Finish,Garage_Cars,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Sale_Type,Sale_Condition,Age_of_Property,Sale_Price,PID
28,3,4,15,5,0,2,2,2,3,1405,0,1,4,1337,2,2,5,1,1,0,0,2,2,203,68,9,4,11,184000,527427230
29,14,6,2,0,504,3,1,5,3,483,4,1,4,987,1,4,5,0,3,4,3,1,2,275,0,0,4,39,96000,527451180
30,14,6,2,1,492,3,1,5,3,525,4,1,4,1092,1,4,6,0,3,4,3,1,2,0,0,9,4,39,105500,527451330
32,3,5,16,0,0,3,1,2,3,1069,4,1,4,1069,2,4,4,1,1,0,2,2,2,0,55,9,4,33,127500,527452190
33,14,5,16,0,0,3,1,5,3,855,4,1,4,1456,2,2,6,1,5,0,3,2,2,173,0,9,4,35,149900,527453130
34,3,5,16,5,0,3,1,2,3,836,0,1,4,848,1,4,4,0,3,0,3,1,2,0,30,9,4,35,120000,527453150
35,14,5,16,0,0,3,1,2,3,855,1,1,4,1456,2,4,7,1,5,0,3,2,2,26,0,9,4,32,146000,527454200
38,2,5,18,3,450,0,2,0,0,1930,0,1,4,1940,2,0,8,1,2,0,0,3,2,168,95,6,5,1,334000,528120060
39,2,5,18,8,256,2,2,2,3,1544,0,1,4,1544,2,2,7,0,3,0,2,3,2,0,35,6,5,1,290941,528120090
41,2,5,18,3,615,2,2,0,3,1698,0,1,4,1698,2,0,7,1,2,0,0,3,2,192,74,9,4,5,275000,528120120
43,2,5,18,5,168,2,2,2,3,1517,0,1,4,1535,2,2,7,0,3,0,2,2,2,0,0,9,4,6,214000,528138060
45,3,5,18,5,128,2,2,2,2,1358,0,1,4,1358,2,2,6,1,2,0,2,2,2,192,35,6,5,1,224000,528175010
48,3,5,18,3,412,0,2,0,3,1752,0,1,4,1752,2,0,6,1,2,0,2,2,2,196,82,9,4,5,319900,528180070
52,3,5,0,5,14,2,2,2,0,1145,0,1,4,1145,2,2,6,0,3,0,0,2,2,100,116,9,4,4,160000,528228285
54,10,5,8,5,0,2,2,2,3,384,0,1,4,1374,2,2,7,1,2,2,0,2,2,100,0,9,4,6,184500,528231020
56,13,5,8,5,0,2,2,2,3,847,0,1,4,1733,2,2,7,1,2,2,0,2,2,144,48,9,4,6,185088,528240130
57,10,5,8,5,0,3,2,2,3,384,0,1,4,1430,2,4,7,1,5,2,0,2,2,180,0,9,4,10,180000,528250100
58,13,5,8,5,180,2,2,2,3,884,0,1,4,2035,2,2,8,1,2,2,0,2,2,144,48,9,4,9,222500,528292020
59,13,5,17,3,165,2,2,2,3,1393,0,1,4,2439,2,2,10,1,5,2,0,3,2,668,30,9,4,11,333168,528328100
63,13,5,17,8,348,2,2,2,3,1152,0,1,4,2270,2,2,9,1,2,0,0,3,2,132,57,9,4,11,290000,528382020
64,13,5,17,5,30,2,2,2,3,1195,2,1,4,1839,2,4,7,0,3,0,0,2,2,0,81,9,4,12,221000,528382030
65,5,5,17,8,579,2,2,2,0,2033,0,1,4,2439,2,2,9,1,0,0,0,3,2,283,86,9,4,15,334000,528386040
67,2,2,23,5,0,2,2,2,3,1218,0,1,4,1218,2,2,4,0,3,0,2,2,2,0,136,6,5,1,204500,528456160
68,13,2,23,5,0,3,2,2,2,756,0,1,4,1547,2,2,7,0,3,0,3,2,2,169,45,2,4,1,215200,528458070
69,2,2,23,8,36,2,2,2,0,1566,0,1,4,1566,2,2,7,0,3,0,2,2,2,144,168,9,4,2,262500,528458110
70,13,2,23,5,0,2,2,2,3,991,0,1,4,1947,2,2,8,1,2,0,2,2,2,0,136,9,4,6,254900,528477080
71,2,2,23,0,0,2,2,0,3,1468,0,1,4,1468,2,2,6,1,2,0,0,2,2,0,102,9,4,5,271500,528480090
72,13,5,22,5,0,2,2,2,3,956,0,1,4,2084,2,2,8,0,3,2,2,2,2,0,45,9,4,6,233000,531367050
73,13,5,22,5,122,2,2,2,0,831,0,1,4,1659,2,2,8,0,3,0,2,2,2,144,68,9,4,6,181000,531369060
74,13,5,22,5,0,2,2,2,3,948,0,1,4,2110,2,2,8,2,1,0,2,2,2,0,130,9,4,16,205000,531380080
75,3,5,22,0,0,3,1,2,3,923,4,1,4,923,2,4,5,1,5,0,2,1,2,80,0,9,4,30,143000,531451110
76,13,5,22,0,0,2,2,2,3,1055,0,1,4,1845,2,2,8,1,5,0,2,2,2,635,104,9,4,18,189000,531451280
77,3,5,22,0,0,3,1,2,3,918,4,1,4,918,2,4,5,1,5,0,3,1,2,28,0,9,4,31,99500,531452020
78,3,5,22,0,0,3,1,2,3,744,4,1,4,848,1,4,4,0,3,0,3,1,2,353,0,9,4,26,125000,531452050
79,13,5,22,5,0,2,2,2,3,996,0,1,4,1744,2,2,7,0,3,0,2,2,2,370,70,9,4,17,194500,531452180
80,2,5,22,0,0,3,2,2,3,1040,4,1,4,1097,2,4,6,0,3,0,3,2,2,0,0,9,4,26,152000,531453010
81,13,5,22,0,130,3,1,2,3,650,4,1,4,1564,2,4,7,1,5,0,3,2,2,0,50,9,4,30,171000,531453040
82,1,4,22,1,0,3,0,5,3,816,4,0,0,1012,1,4,5,0,3,4,3,1,2,121,0,9,4,90,85000,531477050
83,0,6,21,0,0,3,3,3,4,0,4,1,4,1902,2,4,8,0,3,0,3,2,2,0,0,9,4,32,112000,532351140
84,9,5,21,1,0,3,1,5,0,1109,4,1,4,1155,1,2,6,0,3,4,3,2,2,192,0,9,4,49,148000,532354090
85,2,5,21,1,0,3,1,5,3,894,0,1,4,894,1,4,5,1,2,4,3,1,2,416,144,9,4,45,138500,532376160
87,2,5,21,1,0,3,1,5,3,1040,1,1,4,1040,1,4,5,0,3,0,0,1,2,0,0,9,4,47,133000,532377100
88,2,5,21,1,0,3,1,5,3,1040,0,1,4,1040,1,4,6,0,3,4,3,1,2,0,104,9,4,48,127000,532378110
89,2,5,21,0,250,3,1,5,1,1208,0,1,4,1494,2,4,7,2,1,0,0,2,2,296,0,9,0,36,169000,532479070
91,13,5,17,8,504,2,2,2,3,1231,0,1,4,2349,2,2,9,1,5,0,2,3,2,32,130,9,4,17,334000,533130130
92,13,5,17,8,180,2,2,2,3,1390,0,1,4,2225,2,2,7,1,5,0,2,3,2,198,30,9,4,18,285000,533130160
94,14,2,23,5,0,2,2,2,3,840,0,1,4,1680,2,2,3,0,3,0,2,2,2,0,111,9,4,6,190000,533208090
95,14,2,23,5,120,2,2,2,0,600,0,1,4,1200,2,2,4,0,3,4,2,2,2,0,172,3,4,6,155000,533210060
97,14,2,23,5,0,2,2,2,3,600,0,1,4,1200,2,2,4,0,3,4,2,2,2,0,172,9,4,6,149500,533212020
100,14,2,23,0,216,2,2,2,3,756,0,1,4,1573,2,2,5,0,3,4,3,2,2,0,32,9,4,10,177500,533221090
101,14,2,23,0,1159,2,2,2,3,756,0,1,4,1512,2,2,5,0,3,4,3,2,2,0,32,9,4,10,177000,533221110
103,14,2,23,5,0,2,2,2,3,530,0,1,4,1080,2,2,4,0,3,0,2,2,2,0,50,9,4,7,147110,533223100
104,2,2,23,8,0,2,2,0,3,1642,0,1,4,1418,1,2,6,1,2,0,2,3,2,160,192,6,5,0,267916,533238045
105,13,2,23,8,0,2,2,2,3,975,0,1,4,1848,2,2,7,1,5,0,2,2,2,280,184,9,4,10,254000,533244030
106,3,5,10,8,0,2,1,2,1,728,4,1,4,848,1,2,3,1,5,4,0,2,2,133,42,9,4,30,155000,533253060
108,13,5,21,0,289,2,1,5,3,725,0,1,4,1479,2,2,6,0,3,0,2,2,2,0,44,9,4,34,130500,533352170
109,2,2,23,5,0,2,2,2,3,1492,0,1,4,1492,2,2,6,1,2,0,2,2,2,277,137,9,4,8,230000,534102025
110,2,5,19,0,120,3,1,5,3,1829,2,1,4,1829,2,4,8,0,3,0,2,2,2,0,76,9,4,43,218500,534129040
114,13,5,19,5,42,3,1,2,3,980,4,1,4,1714,2,4,7,1,5,0,3,2,2,228,66,9,4,22,196500,534152100
116,13,5,19,0,0,3,1,5,3,715,4,1,4,1645,1,4,7,0,3,0,2,2,2,0,78,9,4,39,171000,534176230
117,2,5,15,1,172,3,1,5,3,1232,4,1,4,1232,1,4,6,0,3,0,2,2,2,0,224,9,4,44,142250,534202160
118,2,5,19,0,451,3,1,5,3,1328,4,1,4,1328,1,4,6,2,2,0,3,2,2,0,26,9,4,47,143000,534251320
119,2,5,15,2,0,3,1,5,3,950,1,1,4,1225,1,4,6,0,3,6,1,0,2,352,0,9,4,51,128950,534276360
120,2,5,15,1,0,3,2,2,3,1209,2,1,4,1209,1,4,6,0,3,0,2,2,2,0,0,3,4,44,159000,534401110
121,2,5,15,1,268,3,1,5,3,1510,0,1,4,1510,2,2,6,0,3,0,2,2,2,0,40,9,4,43,178900,534401140
122,10,5,15,0,0,3,1,5,3,533,4,1,4,1775,2,4,8,0,3,0,3,2,2,0,172,0,3,46,136300,534403360
123,10,5,15,1,86,3,2,5,0,1152,4,1,4,1152,1,4,6,1,2,0,2,2,2,227,0,9,4,46,180500,534403410
124,9,5,15,0,156,3,2,5,1,936,0,1,4,1054,1,2,6,0,3,0,2,2,2,120,0,9,0,47,137500,534425310
125,0,5,15,1,144,3,1,5,3,1728,4,1,4,1728,2,4,10,0,3,6,1,0,2,0,0,7,0,48,85000,534427010
126,2,5,15,1,0,3,1,5,2,1078,2,1,0,1078,1,2,5,0,3,0,3,1,2,366,0,9,4,60,142125,534430080
128,5,5,15,0,340,3,1,5,3,782,4,1,4,1556,2,4,6,1,2,0,3,2,2,0,0,9,4,61,172500,534431070
129,2,5,3,1,0,3,1,5,1,858,2,1,4,858,1,4,4,0,3,6,1,0,2,117,0,9,4,52,116500,534450180
130,1,5,3,4,0,3,1,5,3,728,0,1,4,1306,1,1,6,0,3,6,1,0,2,263,0,9,4,70,85000,534451150
131,2,5,15,1,110,3,1,5,3,1056,4,1,4,1063,1,4,6,0,3,0,2,1,2,0,0,9,4,56,128000,534475100
132,10,5,15,0,164,3,1,5,0,1156,0,1,4,1520,1,4,7,2,2,1,2,1,2,0,0,9,4,55,153000,534476260
133,2,5,15,1,200,3,2,5,3,1268,2,1,4,1268,1,4,7,1,2,0,0,1,2,0,98,9,4,56,132000,534479320
135,0,5,15,1,361,3,1,5,3,1105,4,1,0,2274,2,4,12,0,3,4,3,2,2,0,0,9,4,50,154300,535106190
138,0,5,15,1,0,3,1,5,3,1604,4,1,4,1604,2,4,8,0,3,0,3,2,2,42,0,9,4,52,135000,535152010
140,2,5,15,1,150,3,1,5,3,1143,4,1,4,1143,1,4,6,0,3,0,2,1,2,0,0,9,4,51,136000,535152130
142,2,5,15,1,0,3,1,5,3,1314,4,1,4,1314,1,4,5,0,3,0,2,1,2,250,0,9,4,53,145000,535152250
143,2,5,15,0,220,3,1,5,3,1194,4,1,4,1194,1,4,6,0,3,0,2,1,2,0,0,9,4,51,148000,535153070
144,2,5,15,1,180,3,1,5,3,1188,1,1,4,1188,1,4,6,0,3,0,2,2,2,0,0,0,0,51,142000,535154050
147,2,5,15,0,432,3,1,5,3,1244,0,1,4,1580,1,4,6,2,2,0,3,2,2,0,28,9,4,51,159500,535179020
148,5,5,15,2,0,3,1,5,3,832,4,1,0,1337,1,4,5,0,3,0,3,1,2,0,0,9,4,54,108000,535180130
151,11,5,15,1,0,3,1,5,0,988,4,1,4,988,1,4,5,0,3,0,3,1,2,0,0,9,0,52,119000,535304060
152,2,5,15,1,0,3,1,5,3,1057,4,1,4,1057,1,2,5,0,3,4,3,1,2,0,52,9,0,57,109000,535304180
153,1,5,15,2,0,3,0,5,3,576,2,1,4,985,1,4,4,0,3,4,3,2,0,0,0,9,4,90,105000,535325400
154,2,5,15,1,0,3,3,3,4,0,0,1,4,848,1,4,5,1,4,4,3,1,2,0,0,9,4,55,107500,535327140
155,2,5,15,1,104,3,1,5,3,1086,2,1,4,1086,1,4,6,0,3,0,3,2,2,0,0,9,4,56,144900,535350030
156,2,5,15,1,0,3,1,5,3,936,0,1,4,936,1,4,4,0,3,0,0,1,2,0,0,9,4,54,129000,535350040
157,5,5,15,0,0,3,1,5,3,912,4,1,4,1458,1,4,6,1,2,0,3,1,2,192,0,9,0,62,97500,535353190
158,0,5,20,0,0,3,1,5,3,1056,2,1,4,1056,0,4,4,0,3,4,3,2,2,264,56,9,4,30,144000,535377090
161,5,5,15,0,0,3,1,5,3,816,4,1,4,1224,1,4,5,0,3,4,3,1,2,414,0,9,4,62,132000,535450210
164,2,5,15,1,0,3,1,5,2,900,4,1,4,900,1,2,5,0,3,4,3,2,2,222,32,9,4,59,134800,535456110
165,2,5,15,0,261,3,1,5,3,1116,4,1,4,1116,1,4,5,0,3,0,3,2,2,0,0,9,4,48,160000,535457010
166,2,5,15,1,0,3,1,5,3,1175,0,1,4,1175,1,4,6,0,3,4,2,2,2,0,0,9,4,50,148000,535457090
167,2,5,15,0,218,3,1,5,1,1395,4,1,4,1395,1,4,7,1,5,0,2,2,2,657,0,9,4,47,192000,535476350
168,13,5,15,0,351,3,1,5,3,756,4,1,4,1839,1,4,7,1,5,0,3,2,2,0,124,9,4,44,155000,535477020
169,5,6,20,2,771,3,2,5,3,709,4,1,4,1844,1,4,9,2,2,1,3,1,2,84,0,0,0,110,85000,902102100
172,1,6,20,1,0,3,1,5,3,1008,2,1,0,1028,1,4,5,1,2,4,3,2,2,0,0,9,4,83,115000,902106140
173,2,6,20,1,0,3,1,5,2,1347,2,1,4,1347,1,2,6,0,3,4,3,2,2,0,0,9,4,53,143000,902110090
174,5,6,20,4,0,2,1,1,3,840,2,0,4,1605,2,4,8,0,3,4,3,1,2,0,0,9,4,95,107400,902125080
175,1,6,20,2,0,3,1,5,3,747,4,1,4,848,1,4,4,0,3,0,3,1,2,0,0,9,4,65,85000,902125160
176,1,6,20,1,294,3,1,5,3,788,4,1,4,848,1,2,4,2,2,0,3,1,2,0,0,9,0,70,119000,902128170
178,7,6,20,0,0,3,2,2,3,827,2,1,4,1251,1,1,6,0,3,4,3,1,0,0,0,9,4,72,119000,902206130
179,5,6,20,1,0,3,0,5,3,1027,0,1,4,1633,1,2,7,1,2,4,3,1,2,0,100,9,4,62,129000,902206220
181,1,6,20,6,0,3,0,1,3,678,4,0,4,848,1,4,5,1,2,4,3,2,0,0,0,9,0,87,85000,902207130
182,1,6,20,0,0,3,0,5,3,624,2,1,4,848,1,4,5,0,3,4,3,2,2,106,0,9,4,82,105900,902207140
183,12,6,20,8,0,2,0,5,3,930,4,0,4,1566,2,2,7,0,3,4,3,1,2,54,228,9,0,110,150000,902305110
184,5,6,20,1,0,3,2,1,3,686,4,1,4,1652,2,4,7,0,3,4,3,1,2,0,0,9,4,95,139000,902327040
186,11,6,20,1,0,3,0,5,2,840,1,0,1,2256,2,1,12,0,3,6,1,0,0,0,18,9,0,100,85000,902401060
187,2,6,20,0,0,3,1,5,3,912,4,1,0,1236,1,4,6,0,3,0,3,2,2,0,158,9,4,53,149700,902402010
188,12,6,20,2,0,3,1,1,3,622,2,1,4,1363,1,4,6,0,3,4,3,2,2,0,0,9,4,100,125500,902402130
190,12,6,20,0,0,3,1,1,3,738,0,1,4,1470,1,4,6,0,3,4,3,2,2,0,0,9,4,88,140750,902403070
191,5,6,3,1,0,3,1,5,3,988,0,1,4,1612,1,4,7,0,3,4,3,1,2,0,0,9,4,60,128500,903204040
192,15,5,3,5,0,3,0,2,3,1108,4,0,0,2068,1,2,8,1,2,4,3,1,2,0,0,9,4,88,209500,903206120
194,5,6,3,0,0,3,0,5,3,608,4,1,4,1132,1,4,5,0,3,4,3,1,2,0,0,9,0,71,134000,903226160
195,5,6,3,0,0,3,1,5,3,572,0,1,0,1196,1,4,6,2,2,4,3,2,2,0,0,9,4,70,128000,903227020
197,5,6,3,0,0,3,1,5,3,780,4,1,4,1416,1,4,6,0,3,4,3,1,1,221,0,9,4,62,139900,903228150
198,5,6,3,1,0,3,1,5,3,528,2,1,4,1040,1,4,5,0,3,4,0,2,1,306,0,9,4,74,123900,903232190
199,5,6,3,1,0,3,0,5,3,928,4,1,1,1536,2,4,7,1,2,4,3,2,2,0,10,9,4,80,138400,903233120
200,1,6,20,0,0,3,0,1,3,1124,4,1,4,1068,1,4,5,1,2,4,3,1,2,0,0,9,4,87,109500,903234050
202,5,6,20,2,0,3,1,5,3,888,0,1,4,1962,1,4,9,1,5,4,3,2,2,160,0,9,4,95,149500,903426180
203,12,6,20,0,0,2,2,5,3,780,0,1,4,1560,1,2,7,0,3,6,1,0,0,344,0,9,4,98,159900,903426200
204,12,6,20,0,0,3,0,5,3,662,0,1,4,1324,1,4,6,0,3,4,3,1,2,0,0,9,4,90,122000,903430080
205,0,6,11,1,0,1,1,2,1,816,4,0,4,848,1,4,5,0,3,3,3,2,2,106,0,9,4,47,110000,903450110
206,11,6,11,2,0,1,3,3,4,0,1,0,4,1092,2,1,7,0,3,6,1,0,0,0,0,9,4,80,85000,903454060
207,11,6,20,1,0,3,0,2,3,360,2,1,4,1812,2,2,8,1,4,4,3,2,0,344,0,9,4,110,140000,903476030
208,12,5,4,5,0,3,1,5,2,1032,0,1,4,2403,2,4,10,2,5,0,3,1,2,56,0,0,4,70,244400,904100140
209,2,5,4,1,90,3,1,2,3,1422,2,1,4,1675,2,4,8,2,2,0,3,1,2,0,132,9,4,51,173000,904101110
210,5,5,4,1,0,3,0,2,3,689,2,0,4,1224,1,3,6,0,3,4,3,1,0,0,0,0,4,93,107500,904300150
211,11,5,24,1,0,1,0,5,3,1212,4,0,4,1392,1,4,6,0,3,6,1,0,0,0,0,3,4,95,100000,904302260
213,12,1,24,2,0,3,1,5,3,707,4,0,4,1884,1,4,7,0,3,6,1,0,0,0,0,9,0,103,93369,904351040
214,11,4,24,1,0,3,0,5,2,856,2,1,4,1680,2,4,7,1,2,4,3,2,1,56,144,0,4,100,114900,904352190
216,0,5,21,2,72,1,1,5,3,1832,4,0,4,1832,2,4,8,0,3,6,1,0,2,0,58,9,4,43,136000,905101300
217,0,5,21,2,0,3,1,5,3,1768,4,0,4,1768,2,4,8,0,3,6,1,0,2,0,0,9,4,42,136500,905101310
218,11,5,21,1,0,3,2,5,2,1039,0,1,4,1039,1,4,6,0,3,0,3,2,2,0,0,9,4,45,131500,905102060
219,2,5,21,1,180,3,1,2,3,1392,4,1,4,1392,1,4,5,1,2,4,3,2,2,0,0,9,4,53,121500,905103060
221,2,5,21,1,0,3,1,5,2,1060,0,1,4,1060,1,2,6,1,5,0,3,1,2,406,90,9,4,42,154000,905105070
222,2,5,21,1,47,3,1,5,2,864,0,1,4,892,1,2,5,0,3,4,3,1,2,0,0,9,4,44,137900,905105200
223,13,5,21,0,143,3,1,5,3,663,4,1,4,1352,1,4,7,0,3,0,0,1,2,379,36,9,4,41,158000,905106140
224,2,5,21,1,0,3,1,5,3,864,0,1,4,864,1,4,4,0,3,4,3,1,2,226,0,9,4,42,137250,905106170
225,0,5,21,1,0,3,1,2,0,1319,4,1,4,1373,1,4,5,2,5,0,0,2,2,0,0,9,4,32,160250,905107110
226,13,5,21,1,0,3,1,5,3,720,0,1,4,1440,1,4,7,2,5,0,3,2,2,192,38,9,4,42,163000,905107250
227,13,5,21,0,328,3,1,5,2,672,4,1,4,1386,2,4,6,1,5,0,0,2,2,335,0,9,0,32,158900,905107320
228,13,5,4,5,0,2,2,0,1,1306,0,1,4,2260,2,2,7,0,3,0,2,2,2,296,44,9,4,14,328000,905109130
229,2,5,4,5,0,2,1,2,1,1420,2,1,4,1483,1,4,4,2,5,0,2,2,2,496,0,9,4,33,270000,905109170
230,1,5,21,2,0,3,0,1,3,660,4,0,4,848,1,4,4,0,3,4,3,2,0,80,0,9,4,83,85000,905201030
231,2,5,21,2,0,3,1,2,3,1067,4,1,4,1067,2,2,4,0,3,0,3,2,2,290,0,9,4,60,128000,905202090
232,4,5,4,5,0,2,2,2,1,1332,4,1,4,1524,0,2,4,1,5,0,0,2,2,268,0,9,4,31,260000,905325030
233,13,5,4,0,288,3,2,2,0,1117,0,1,4,1981,2,2,8,1,5,0,0,2,2,336,104,9,4,32,230000,905352140
234,5,5,7,4,0,3,1,5,2,972,4,1,0,1610,2,1,8,1,2,0,2,1,2,0,0,9,4,72,124000,905378040
237,2,5,7,1,0,3,1,5,0,1144,4,1,4,1144,1,4,6,0,3,0,3,1,2,44,0,9,4,54,129000,905451320
243,2,5,7,2,0,3,1,3,4,0,0,1,4,930,1,2,6,0,3,4,3,1,2,0,0,9,0,64,85000,905478190
244,13,5,22,0,336,2,1,2,3,741,4,1,4,1732,2,2,7,1,5,0,0,2,2,192,46,9,4,25,178000,906201030
246,13,5,22,0,85,2,2,2,3,946,0,1,4,1802,2,2,8,1,2,5,2,4,2,450,92,9,4,17,218000,906204230
248,9,5,22,0,0,3,2,2,0,936,0,1,4,996,1,2,5,0,3,0,3,2,2,120,0,9,4,18,147000,906225210
249,2,5,5,8,72,2,2,2,0,1694,0,1,4,1694,2,2,7,0,3,0,2,3,2,160,33,9,4,2,245350,906378100
250,2,5,5,5,24,2,2,2,0,1187,0,1,4,1208,2,2,6,0,3,0,2,2,2,105,61,9,4,4,206000,906380190
255,10,5,4,0,80,3,1,5,0,1010,2,1,4,1052,1,4,6,0,3,0,3,2,2,0,0,9,4,39,155000,906477110
256,9,5,5,1,0,3,2,2,0,870,2,1,4,965,1,4,4,0,3,0,3,2,2,71,0,9,4,14,159000,907125090
257,13,5,5,5,0,3,2,2,3,878,0,1,4,1692,2,4,8,1,5,0,2,2,2,0,39,9,4,13,191000,907180050
259,2,5,5,1,0,2,1,2,3,1026,0,1,4,1026,1,4,5,0,3,0,3,1,2,316,85,9,4,33,150000,907200280
260,13,5,5,0,153,3,1,2,3,689,0,1,4,1392,1,4,6,0,3,0,0,1,2,0,36,9,4,33,161750,907200290
261,2,5,5,1,0,3,1,5,0,894,4,1,4,894,1,4,5,0,3,0,3,1,2,365,0,9,4,34,128200,907200340
264,2,5,5,8,479,2,2,2,0,1581,0,1,4,1601,2,2,6,1,5,0,2,2,2,180,0,9,4,9,272000,907252120
265,13,5,5,5,223,2,2,2,3,941,0,1,4,1829,2,2,7,1,5,0,2,2,2,192,39,9,4,7,237000,907262050
266,13,5,5,5,0,2,2,2,3,1040,0,1,4,2098,2,2,9,1,5,0,0,2,2,331,38,9,4,13,240000,907280040
270,2,5,5,8,171,2,2,2,0,1657,0,1,4,1668,2,2,8,1,5,0,0,2,2,0,262,9,4,7,232000,907401090
271,2,5,5,5,109,2,2,2,0,1473,0,1,4,1484,2,2,7,0,3,0,2,2,2,0,35,9,4,6,213000,907410080
273,1,5,7,4,0,3,1,3,4,0,4,0,4,848,1,4,5,0,3,4,3,1,0,0,0,3,4,65,85000,908102060
274,2,5,7,1,0,3,1,1,3,381,0,1,4,992,1,4,6,0,3,4,3,1,2,60,0,7,0,56,155891,908102110
275,0,5,7,1,0,3,1,3,4,0,4,0,4,1664,2,4,8,0,3,6,1,0,2,0,0,9,4,45,100000,908102130
276,2,5,7,1,0,3,1,2,1,1196,4,1,4,1196,1,4,6,0,3,0,2,1,2,257,0,9,4,42,144000,908102170
277,5,5,7,2,0,3,1,5,3,744,0,0,1,1120,1,1,5,0,3,4,3,2,1,0,0,9,0,62,85000,908102300
278,10,5,7,0,0,3,1,5,0,1008,4,1,4,1096,1,4,5,1,1,4,3,1,2,0,0,9,4,35,125200,908103350
279,10,5,7,0,0,3,1,5,0,1029,4,1,4,1117,1,4,6,1,5,4,3,2,2,144,0,9,0,34,107000,908152080
280,2,5,7,2,0,3,1,5,3,960,0,1,4,960,1,4,5,0,3,6,1,0,2,0,0,9,4,52,90000,908203100
281,2,6,7,2,0,3,2,2,3,1121,0,1,4,1121,2,4,5,0,3,0,2,2,2,132,64,9,4,7,140000,908208020
282,5,5,7,0,0,3,1,5,3,735,4,1,0,1487,1,4,7,1,2,4,3,1,2,0,140,9,4,65,113000,908225320
283,11,5,7,2,0,3,0,2,3,672,1,0,0,924,1,1,5,0,3,4,3,1,2,0,0,9,4,69,85000,908226130
284,2,5,7,1,145,3,1,5,0,1216,0,1,0,1526,1,4,7,1,2,1,3,1,2,116,78,9,4,53,144500,908275300
285,1,5,24,1,203,3,0,5,2,1107,1,0,0,1296,2,1,5,1,2,4,3,1,2,0,0,9,4,86,104000,909100080
288,5,5,24,1,0,3,0,5,3,1026,4,1,4,1691,2,2,6,1,2,4,3,1,2,0,0,9,4,86,127000,909176140
