,MS_SubClass,MS_Zoning,Neighborhood,Overall_Qual,Mas_Vnr_Area,Exter_Qual,Foundation,Bsmt_Qual,Bsmt_Exposure,Total_Bsmt_SF,Heating_QC,Central_Air,Electrical,Gr_Liv_Area,Full_Bath,Kitchen_Qual,TotRms_AbvGrd,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Finish,Garage_Cars,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Sale_Type,Sale_Condition,Age_of_Property,Sale_Price,PID
24,2,5,15,1,0,3,1,5,3,1078,0,1,4,1078,1,4,6,1,1,0,0,2,2,0,0,9,4,39,149900,527402250
25,2,5,15,1,0,3,1,5,3,1056,0,1,4,1056,1,4,6,1,1,0,3,1,2,0,85,9,4,42,142000,527403020
26,2,5,15,2,0,3,1,5,3,882,4,1,4,882,1,4,4,0,3,0,0,2,2,240,0,9,4,40,126000,527404120
27,2,5,15,2,0,3,1,5,3,864,4,1,4,864,1,4,5,1,4,6,1,0,2,0,0,4,4,39,115000,527425090
28,3,4,15,5,0,2,2,2,3,1405,0,1,4,1337,2,2,5,1,1,0,0,2,2,203,68,9,4,11,184000,527427230
29,14,6,2,0,504,3,1,5,3,483,4,1,4,987,1,4,5,0,3,4,3,1,2,275,0,0,4,39,96000,527451180
30,14,6,2,1,492,3,1,5,3,525,4,1,4,1092,1,4,6,0,3,4,3,1,2,0,0,9,4,39,105500,527451330
31,14,6,2,0,381,3,1,5,3,525,4,1,4,1092,1,4,6,0,3,4,3,1,2,0,0,9,3,39,88250,527451410
32,3,5,16,0,0,3,1,2,3,1069,4,1,4,1069,2,4,4,1,1,0,2,2,2,0,55,9,4,33,127500,527452190
34,3,5,16,5,0,3,1,2,3,836,0,1,4,864,1,4,4,0,3,0,3,1,2,0,30,9,4,35,120000,527453150
35,14,5,16,0,0,3,1,2,3,855,1,1,4,1456,2,4,7,1,5,0,3,2,2,26,0,9,4,32,146000,527454200
37,2,5,18,8,200,2,2,0,3,1704,0,1,4,1704,2,2,7,1,2,0,2,3,2,0,50,9,4,3,306000,528112020
40,2,5,18,5,226,2,2,2,2,1541,0,1,4,1541,2,2,7,1,2,0,2,2,2,0,70,6,5,5,220000,528120100
41,2,5,18,3,615,2,2,0,3,1698,0,1,4,1698,2,0,7,1,2,0,0,3,2,192,74,9,4,5,275000,528120120
43,2,5,18,5,168,2,2,2,3,1517,0,1,4,1535,2,2,7,0,3,0,2,2,2,0,0,9,4,6,214000,528138060
44,2,5,18,3,760,0,2,0,1,2330,0,1,4,2364,2,0,11,2,2,0,0,3,2,0,67,6,5,1,335000,528150070
45,3,5,18,5,128,2,2,2,2,1358,0,1,4,1358,2,2,6,1,2,0,2,2,2,192,35,6,5,1,224000,528175010
46,2,5,18,3,1095,0,2,0,1,2846,0,1,4,2468,2,0,10,2,2,0,0,3,2,220,150,9,4,7,335000,528176010
47,13,5,18,8,232,2,2,2,1,1671,0,1,4,2250,2,2,7,1,0,0,0,3,2,238,130,9,4,8,320000,528176070
48,3,5,18,3,412,0,2,0,3,1752,0,1,4,1752,2,0,6,1,2,0,2,2,2,196,82,9,4,5,319900,528180070
49,3,5,18,8,178,2,2,2,2,1370,0,1,4,1370,2,2,6,1,2,0,2,2,2,120,49,9,4,4,205000,528181050
50,14,5,18,5,106,2,2,2,3,764,0,1,4,1626,2,2,6,0,3,2,2,2,2,0,27,9,4,7,175500,528188120
51,2,5,8,0,0,2,2,2,3,1324,0,1,4,1324,2,2,6,0,3,0,0,2,2,36,23,9,4,5,199500,528218150
53,3,5,0,8,16,2,2,2,3,1256,0,1,4,1269,2,2,6,1,5,0,0,2,2,146,20,9,4,6,192000,528228440
55,13,5,8,0,0,2,2,2,3,860,0,1,4,1960,2,2,8,2,5,2,0,2,2,288,48,9,4,8,216500,528240070
56,13,5,8,5,0,2,2,2,3,847,0,1,4,1733,2,2,7,1,2,2,0,2,2,144,48,9,4,6,185088,528240130
57,10,5,8,5,0,3,2,2,3,384,0,1,4,1430,2,4,7,1,5,2,0,2,2,180,0,9,4,10,180000,528250100
58,13,5,8,5,180,2,2,2,3,884,0,1,4,2035,2,2,8,1,2,2,0,2,2,144,48,9,4,9,222500,528292020
59,13,5,17,3,165,2,2,2,3,1393,0,1,4,2468,2,2,10,1,5,2,0,3,2,668,30,9,4,11,333168,528328100
60,13,5,17,8,114,2,2,0,3,1629,0,1,4,2468,2,2,7,1,5,0,0,3,2,23,172,9,4,12,335000,528344070
61,2,5,17,5,338,2,2,2,3,1720,0,1,4,1720,2,2,7,1,5,0,0,2,2,240,56,9,4,14,260400,528358010
62,13,5,17,8,362,2,2,0,0,1463,0,1,4,2468,2,2,9,2,5,0,2,2,2,186,32,9,4,16,325000,528363130
63,13,5,17,8,348,2,2,2,3,1152,0,1,4,2270,2,2,9,1,2,0,0,3,2,132,57,9,4,11,290000,528382020
64,13,5,17,5,30,2,2,2,3,1195,2,1,4,1839,2,4,7,0,3,0,0,2,2,0,81,9,4,12,221000,528382030
65,5,5,17,8,579,2,2,2,0,2033,0,1,4,2468,2,2,9,1,0,0,0,3,2,283,86,9,4,15,335000,528386040
66,2,5,23,8,226,2,2,2,4,1595,0,1,4,1595,2,2,6,1,2,0,2,3,2,144,0,9,4,5,221500,528445060
67,2,2,23,5,0,2,2,2,3,1218,0,1,4,1218,2,2,4,0,3,0,2,2,2,0,136,6,5,1,204500,528456160
68,13,2,23,5,0,3,2,2,2,756,0,1,4,1547,2,2,7,0,3,0,3,2,2,169,45,2,4,1,215200,528458070
69,2,2,23,8,36,2,2,2,0,1566,0,1,4,1566,2,2,7,0,3,0,2,2,2,144,168,9,4,2,262500,528458110
72,13,5,22,5,0,2,2,2,3,956,0,1,4,2084,2,2,8,0,3,2,2,2,2,0,45,9,4,6,233000,531367050
73,13,5,22,5,122,2,2,2,0,831,0,1,4,1659,2,2,8,0,3,0,2,2,2,144,68,9,4,6,181000,531369060
74,13,5,22,5,0,2,2,2,3,948,0,1,4,2110,2,2,8,2,1,0,2,2,2,0,130,9,4,16,205000,531380080
75,3,5,22,0,0,3,1,2,3,923,4,1,4,923,2,4,5,1,5,0,2,1,2,80,0,9,4,30,143000,531451110
76,13,5,22,0,0,2,2,2,3,1055,0,1,4,1845,2,2,8,1,5,0,2,2,2,635,104,9,4,18,189000,531451280
77,3,5,22,0,0,3,1,2,3,918,4,1,4,918,2,4,5,1,5,0,3,1,2,28,0,9,4,31,99500,531452020
78,3,5,22,0,0,3,1,2,3,744,4,1,4,864,1,4,4,0,3,0,3,1,2,353,0,9,4,26,125000,531452050
81,13,5,22,0,130,3,1,2,3,650,4,1,4,1564,2,4,7,1,5,0,3,2,2,0,50,9,4,30,171000,531453040
82,1,4,22,1,0,3,0,5,3,816,4,0,0,1012,1,4,5,0,3,4,3,1,2,121,0,9,4,90,88250,531477050
85,2,5,21,1,0,3,1,5,3,894,0,1,4,894,1,4,5,1,2,4,3,1,2,416,144,9,4,45,138500,532376160
86,2,5,21,1,31,3,1,5,3,882,4,1,4,900,1,4,5,0,3,4,3,1,2,0,0,9,4,43,122000,532377060
87,2,5,21,1,0,3,1,5,3,1040,1,1,4,1040,1,4,5,0,3,0,0,1,2,0,0,9,4,47,133000,532377100
88,2,5,21,1,0,3,1,5,3,1040,0,1,4,1040,1,4,6,0,3,4,3,1,2,0,104,9,4,48,127000,532378110
89,2,5,21,0,250,3,1,5,1,1208,0,1,4,1494,2,4,7,2,1,0,0,2,2,296,0,9,0,36,169000,532479070
90,13,5,17,5,0,2,2,2,3,750,0,1,4,1923,2,2,8,1,5,0,2,2,2,240,39,9,4,18,190000,533130020
91,13,5,17,8,504,2,2,2,3,1231,0,1,4,2349,2,2,9,1,5,0,2,3,2,32,130,9,4,17,335000,533130130
92,13,5,17,8,180,2,2,2,3,1390,0,1,4,2225,2,2,7,1,5,0,2,3,2,198,30,9,4,18,285000,533130160
93,3,2,23,5,0,2,2,0,0,1488,0,1,4,1488,2,2,6,1,2,0,0,2,2,168,50,9,4,6,260000,533205060
94,14,2,23,5,0,2,2,2,3,840,0,1,4,1680,2,2,3,0,3,0,2,2,2,0,111,9,4,6,190000,533208090
95,14,2,23,5,120,2,2,2,0,600,0,1,4,1200,2,2,4,0,3,4,2,2,2,0,172,3,4,6,155000,533210060
96,14,2,23,5,0,2,2,2,3,600,0,1,4,1200,2,2,4,0,3,4,2,2,2,0,172,9,4,6,151000,533212010
98,14,2,23,0,216,2,2,2,3,600,0,1,4,1236,2,2,4,0,3,4,2,2,2,0,166,9,4,5,152000,533212060
99,2,2,23,5,432,0,2,0,0,1470,0,1,4,1478,2,2,7,1,2,0,0,2,2,0,144,6,5,1,222000,533213030
101,14,2,23,0,1159,2,2,2,3,756,0,1,4,1512,2,2,5,0,3,4,3,2,2,0,32,9,4,10,177000,533221110
104,2,2,23,8,0,2,2,0,3,1642,0,1,4,1418,1,2,6,1,2,0,2,3,2,160,192,6,5,0,267916,533238045
106,3,5,10,8,0,2,1,2,1,728,4,1,4,864,1,2,3,1,5,4,0,2,2,133,42,9,4,30,155000,533253060
108,13,5,21,0,289,2,1,5,3,725,0,1,4,1479,2,2,6,0,3,0,2,2,2,0,44,9,4,34,130500,533352170
110,2,5,19,0,120,3,1,5,3,1829,2,1,4,1829,2,4,8,0,3,0,2,2,2,0,76,9,4,43,218500,534129040
112,2,5,19,0,28,3,2,5,2,1610,2,1,4,1610,2,2,6,2,5,0,2,2,2,168,68,9,4,33,205000,534152050
113,5,5,19,0,0,3,2,2,2,1224,4,1,4,1891,3,4,7,1,5,0,2,2,2,0,69,9,4,32,212500,534152070
115,2,5,19,0,0,3,1,5,3,1161,4,1,4,1381,1,2,5,1,5,0,2,2,2,0,0,9,4,38,197500,534176060
116,13,5,19,0,0,3,1,5,3,715,4,1,4,1645,1,4,7,0,3,0,2,2,2,0,78,9,4,39,171000,534176230
118,2,5,19,0,451,3,1,5,3,1328,4,1,4,1328,1,4,6,2,2,0,3,2,2,0,26,9,4,47,143000,534251320
121,2,5,15,1,268,3,1,5,3,1510,0,1,4,1510,2,2,6,0,3,0,2,2,2,0,40,9,4,43,178900,534401140
122,10,5,15,0,0,3,1,5,3,533,4,1,4,1775,2,4,8,0,3,0,3,2,2,0,172,0,3,46,136300,534403360
123,10,5,15,1,86,3,2,5,0,1152,4,1,4,1152,1,4,6,1,2,0,2,2,2,227,0,9,4,46,180500,534403410
124,9,5,15,0,156,3,2,5,1,936,0,1,4,1054,1,2,6,0,3,0,2,2,2,120,0,9,0,47,137500,534425310
125,0,5,15,1,144,3,1,5,3,1728,4,1,4,1728,2,4,10,0,3,6,1,0,2,0,0,7,0,48,88250,534427010
126,2,5,15,1,0,3,1,5,2,1078,2,1,0,1078,1,2,5,0,3,0,3,1,2,366,0,9,4,60,142125,534430080
127,5,5,15,1,265,2,1,5,3,1140,2,1,4,2461,2,4,7,2,2,4,3,2,2,0,0,9,4,58,197600,534431050
128,5,5,15,0,340,3,1,5,3,782,4,1,4,1556,2,4,6,1,2,0,3,2,2,0,0,9,4,61,172500,534431070
129,2,5,3,1,0,3,1,5,1,858,2,1,4,864,1,4,4,0,3,6,1,0,2,117,0,9,4,52,116500,534450180
130,1,5,3,4,0,3,1,5,3,728,0,1,4,1306,1,1,6,0,3,6,1,0,2,263,0,9,4,70,88250,534451150
132,10,5,15,0,164,3,1,5,0,1156,0,1,4,1520,1,4,7,2,2,1,2,1,2,0,0,9,4,55,153000,534476260
133,2,5,15,1,200,3,2,5,3,1268,2,1,4,1268,1,4,7,1,2,0,0,1,2,0,98,9,4,56,132000,534479320
134,9,5,15,0,216,3,1,5,1,1080,2,1,4,1128,1,2,5,1,2,0,3,1,2,238,0,9,4,44,178000,535101020
135,0,5,15,1,361,3,1,5,3,1105,4,1,0,2274,2,4,12,0,3,4,3,2,2,0,0,9,4,50,154300,535106190
136,2,5,15,5,287,3,1,2,1,1947,4,1,4,2207,2,4,7,1,2,0,2,2,2,301,0,9,4,40,180000,535125010
137,2,5,15,0,0,2,1,5,3,1517,0,1,4,1888,2,2,6,1,2,0,0,2,2,0,0,9,4,44,190000,535126040
139,2,5,15,5,506,2,2,2,3,1480,0,1,4,1480,2,2,7,0,3,0,2,2,2,252,73,9,4,7,214000,535152050
140,2,5,15,1,150,3,1,5,3,1143,4,1,4,1143,1,4,6,0,3,0,2,1,2,0,0,9,4,51,136000,535152130
142,2,5,15,1,0,3,1,5,3,1314,4,1,4,1314,1,4,5,0,3,0,2,1,2,250,0,9,4,53,145000,535152250
143,2,5,15,0,220,3,1,5,3,1194,4,1,4,1194,1,4,6,0,3,0,2,1,2,0,0,9,4,51,148000,535153070
144,2,5,15,1,180,3,1,5,3,1188,1,1,4,1188,1,4,6,0,3,0,2,2,2,0,0,0,0,51,142000,535154050
145,2,5,15,1,324,3,1,5,3,1268,4,1,4,1264,1,4,6,2,2,0,3,2,2,0,0,9,4,50,167500,535175070
146,2,5,15,1,91,3,1,5,3,1206,1,1,4,1206,1,4,6,0,3,0,2,1,2,0,21,9,4,51,108538,535175180
147,2,5,15,0,432,3,1,5,3,1244,0,1,4,1580,1,4,6,2,2,0,3,2,2,0,28,9,4,51,159500,535179020
149,2,5,15,1,0,3,1,5,3,864,4,1,4,1064,1,1,4,0,3,4,3,1,2,0,0,9,4,58,135000,535302080
152,2,5,15,1,0,3,1,5,3,1057,4,1,4,1057,1,2,5,0,3,4,3,1,2,0,52,9,0,57,109000,535304180
153,1,5,15,2,0,3,0,5,3,576,2,1,4,985,1,4,4,0,3,4,3,2,0,0,0,9,4,90,105000,535325400
155,2,5,15,1,104,3,1,5,3,1086,2,1,4,1086,1,4,6,0,3,0,3,2,2,0,0,9,4,56,144900,535350030
157,5,5,15,0,0,3,1,5,3,912,4,1,4,1458,1,4,6,1,2,0,3,1,2,192,0,9,0,62,97500,535353190
158,0,5,20,0,0,3,1,5,3,1056,2,1,4,1056,0,4,4,0,3,4,3,2,2,264,56,9,4,30,144000,535377090
160,10,5,15,5,300,2,1,2,3,710,0,1,4,2468,2,2,11,1,2,2,0,2,2,240,0,9,4,43,242000,535425010
161,5,5,15,0,0,3,1,5,3,816,4,1,4,1224,1,4,5,0,3,4,3,1,2,414,0,9,4,62,132000,535450210
163,5,5,15,1,0,3,1,5,3,910,1,1,4,1385,2,4,6,0,3,4,3,2,2,0,0,9,4,58,166000,535454070
164,2,5,15,1,0,3,1,5,2,900,4,1,4,900,1,2,5,0,3,4,3,2,2,222,32,9,4,59,134800,535456110
165,2,5,15,0,261,3,1,5,3,1116,4,1,4,1116,1,4,5,0,3,0,3,2,2,0,0,9,4,48,160000,535457010
169,5,6,20,2,771,3,2,5,3,709,4,1,4,1844,1,4,9,2,2,1,3,1,2,84,0,0,0,110,88250,902102100
170,5,6,20,2,0,3,0,5,3,576,2,1,4,1140,1,4,7,0,3,6,1,0,0,0,160,9,4,100,96500,902104060
171,1,6,20,1,0,3,2,5,3,936,4,1,4,936,1,4,5,1,2,6,1,0,1,51,0,9,4,90,109500,902106130
173,2,6,20,1,0,3,1,5,2,1347,2,1,4,1347,1,2,6,0,3,4,3,2,2,0,0,9,4,53,143000,902110090
175,1,6,20,2,0,3,1,5,3,747,4,1,4,864,1,4,4,0,3,0,3,1,2,0,0,9,4,65,88250,902125160
176,1,6,20,1,294,3,1,5,3,788,4,1,4,864,1,2,4,2,2,0,3,1,2,0,0,9,0,70,119000,902128170
179,5,6,20,1,0,3,0,5,3,1027,0,1,4,1633,1,2,7,1,2,4,3,1,2,0,100,9,4,62,129000,902206220
180,5,6,20,1,0,3,0,5,3,1008,4,1,4,1245,1,4,6,0,3,4,3,1,2,0,0,9,4,90,100000,902206240
181,1,6,20,6,0,3,0,1,3,678,4,0,4,864,1,4,5,1,2,4,3,2,0,0,0,9,0,87,88250,902207130
182,1,6,20,0,0,3,0,5,3,624,2,1,4,864,1,4,5,0,3,4,3,2,2,106,0,9,4,82,105900,902207140
187,2,6,20,0,0,3,1,5,3,912,4,1,0,1236,1,4,6,0,3,0,3,2,2,0,158,9,4,53,149700,902402010
188,12,6,20,2,0,3,1,1,3,622,2,1,4,1363,1,4,6,0,3,4,3,2,2,0,0,9,4,100,125500,902402130
189,11,6,20,2,0,3,2,5,3,777,2,1,4,2290,2,4,11,0,3,4,3,2,0,0,0,9,4,125,122500,902402250
190,12,6,20,0,0,3,1,1,3,738,0,1,4,1470,1,4,6,0,3,4,3,2,2,0,0,9,4,88,140750,902403070
193,1,6,3,2,0,3,0,5,3,765,4,0,1,864,1,2,4,0,3,4,3,1,1,135,0,9,4,85,88250,903225150
194,5,6,3,0,0,3,0,5,3,608,4,1,4,1132,1,4,5,0,3,4,3,1,2,0,0,9,0,71,134000,903226160
195,5,6,3,0,0,3,1,5,3,572,0,1,0,1196,1,4,6,2,2,4,3,2,2,0,0,9,4,70,128000,903227020
197,5,6,3,0,0,3,1,5,3,780,4,1,4,1416,1,4,6,0,3,4,3,1,1,221,0,9,4,62,139900,903228150
198,5,6,3,1,0,3,1,5,3,528,2,1,4,1040,1,4,5,0,3,4,0,2,1,306,0,9,4,74,123900,903232190
199,5,6,3,1,0,3,0,5,3,928,4,1,1,1536,2,4,7,1,2,4,3,2,2,0,10,9,4,80,138400,903233120
200,1,6,20,0,0,3,0,1,3,1124,4,1,4,1068,1,4,5,1,2,4,3,1,2,0,0,9,4,87,109500,903234050
201,12,6,20,5,0,3,0,5,3,576,2,1,4,1710,2,4,9,0,3,4,3,2,2,12,11,9,4,89,140000,903425110
202,5,6,20,2,0,3,1,5,3,888,0,1,4,1962,1,4,9,1,5,4,3,2,2,160,0,9,4,95,149500,903426180
203,12,6,20,0,0,2,2,5,3,780,0,1,4,1560,1,2,7,0,3,6,1,0,0,344,0,9,4,98,159900,903426200
204,12,6,20,0,0,3,0,5,3,662,0,1,4,1324,1,4,6,0,3,4,3,1,2,0,0,9,4,90,122000,903430080
205,0,6,11,1,0,1,1,2,1,816,4,0,4,864,1,4,5,0,3,3,3,2,2,106,0,9,4,47,110000,903450110
206,11,6,11,2,0,1,3,3,4,0,1,0,4,1092,2,1,7,0,3,6,1,0,0,0,0,9,4,80,88250,903454060
207,11,6,20,1,0,3,0,2,3,360,2,1,4,1812,2,2,8,1,4,4,3,2,0,344,0,9,4,110,140000,903476030
210,5,5,4,1,0,3,0,2,3,689,2,0,4,1224,1,3,6,0,3,4,3,1,0,0,0,0,4,93,107500,904300150
211,11,5,24,1,0,1,0,5,3,1212,4,0,4,1392,1,4,6,0,3,6,1,0,0,0,0,3,4,95,100000,904302260
214,11,4,24,1,0,3,0,5,2,856,2,1,4,1680,2,4,7,1,2,4,3,2,1,56,144,0,4,100,114900,904352190
215,5,5,21,1,0,3,1,5,3,780,2,0,4,1020,1,4,6,0,3,6,1,0,0,0,0,9,4,135,94000,905101100
219,2,5,21,1,180,3,1,2,3,1392,4,1,4,1392,1,4,5,1,2,4,3,2,2,0,0,9,4,53,121500,905103060
221,2,5,21,1,0,3,1,5,2,1060,0,1,4,1060,1,2,6,1,5,0,3,1,2,406,90,9,4,42,154000,905105070
222,2,5,21,1,47,3,1,5,2,864,0,1,4,892,1,2,5,0,3,4,3,1,2,0,0,9,4,44,137900,905105200
223,13,5,21,0,143,3,1,5,3,663,4,1,4,1352,1,4,7,0,3,0,0,1,2,379,36,9,4,41,158000,905106140
224,2,5,21,1,0,3,1,5,3,864,0,1,4,864,1,4,4,0,3,4,3,1,2,226,0,9,4,42,137250,905106170
226,13,5,21,1,0,3,1,5,3,720,0,1,4,1440,1,4,7,2,5,0,3,2,2,192,38,9,4,42,163000,905107250
227,13,5,21,0,328,3,1,5,2,672,4,1,4,1386,2,4,6,1,5,0,0,2,2,335,0,9,0,32,158900,905107320
228,13,5,4,5,0,2,2,0,1,1306,0,1,4,2260,2,2,7,0,3,0,2,2,2,296,44,9,4,14,328000,905109130
229,2,5,4,5,0,2,1,2,1,1420,2,1,4,1483,1,4,4,2,5,0,2,2,2,496,0,9,4,33,270000,905109170
230,1,5,21,2,0,3,0,1,3,660,4,0,4,864,1,4,4,0,3,4,3,2,0,80,0,9,4,83,88250,905201030
234,5,5,7,4,0,3,1,5,2,972,4,1,0,1610,2,1,8,1,2,0,2,1,2,0,0,9,4,72,124000,905378040
237,2,5,7,1,0,3,1,5,0,1144,4,1,4,1144,1,4,6,0,3,0,3,1,2,44,0,9,4,54,129000,905451320
239,2,5,7,1,0,3,1,5,0,1172,4,1,4,1172,1,4,5,0,3,0,0,1,2,240,0,9,4,56,128000,905452160
241,2,5,7,5,96,2,2,2,1,1508,0,1,4,1508,1,2,5,2,5,0,2,2,2,0,0,2,5,1,308030,905453080
243,2,5,7,2,0,3,1,3,4,0,0,1,4,930,1,2,6,0,3,4,3,1,2,0,0,9,0,64,88250,905478190
246,13,5,22,0,85,2,2,2,3,946,0,1,4,1802,2,2,8,1,2,5,2,4,2,450,92,9,4,17,218000,906204230
247,13,5,22,5,246,2,2,2,3,1050,0,1,4,1949,2,2,8,1,5,0,0,2,2,156,90,9,4,17,236000,906223090
248,9,5,22,0,0,3,2,2,0,936,0,1,4,996,1,2,5,0,3,0,3,2,2,120,0,9,4,18,147000,906225210
250,2,5,5,5,24,2,2,2,0,1187,0,1,4,1208,2,2,6,0,3,0,2,2,2,105,61,9,4,4,206000,906380190
251,2,5,5,5,0,3,2,2,3,1226,0,1,4,1226,2,2,6,0,3,0,2,3,2,0,36,9,4,1,198900,906385010
253,13,5,22,5,0,3,2,2,2,1673,2,1,4,2468,3,2,11,2,5,0,3,3,2,367,0,9,4,20,320000,906402200
254,5,5,22,0,0,3,2,1,3,676,4,1,4,1445,2,4,6,0,3,4,3,2,0,0,59,9,4,110,138500,906425045
257,13,5,5,5,0,3,2,2,3,878,0,1,4,1692,2,4,8,1,5,0,2,2,2,0,39,9,4,13,191000,907180050
259,2,5,5,1,0,2,1,2,3,1026,0,1,4,1026,1,4,5,0,3,0,3,1,2,316,85,9,4,33,150000,907200280
260,13,5,5,0,153,3,1,2,3,689,0,1,4,1392,1,4,6,0,3,0,0,1,2,0,36,9,4,33,161750,907200290
262,2,5,5,1,0,3,1,5,0,876,4,1,4,876,1,4,5,0,3,4,3,2,2,0,0,9,4,38,127000,907203070
263,2,5,5,8,320,2,2,2,3,1978,0,1,4,1978,2,2,8,1,2,0,2,3,2,188,25,9,4,7,318000,907250030
264,2,5,5,8,479,2,2,2,0,1581,0,1,4,1601,2,2,6,1,5,0,2,2,2,180,0,9,4,9,272000,907252120
265,13,5,5,5,223,2,2,2,3,941,0,1,4,1829,2,2,7,1,5,0,2,2,2,192,39,9,4,7,237000,907262050
266,13,5,5,5,0,2,2,2,3,1040,0,1,4,2098,2,2,9,1,5,0,0,2,2,331,38,9,4,13,240000,907280040
268,3,6,5,0,170,2,2,2,0,848,0,1,4,864,1,2,4,0,3,0,0,2,2,140,0,9,4,7,143750,907290170
269,3,6,5,0,169,2,2,2,0,848,0,1,4,864,1,2,3,0,3,0,2,2,2,160,0,9,4,6,143000,907290240
272,2,5,5,5,98,2,2,2,0,1414,0,1,4,1414,2,2,6,0,3,0,2,2,2,132,105,9,4,6,185500,907414030
274,2,5,7,1,0,3,1,1,3,381,0,1,4,992,1,4,6,0,3,4,3,1,2,60,0,7,0,56,155891,908102110
275,0,5,7,1,0,3,1,3,4,0,4,0,4,1664,2,4,8,0,3,6,1,0,2,0,0,9,4,45,100000,908102130
276,2,5,7,1,0,3,1,2,1,1196,4,1,4,1196,1,4,6,0,3,0,2,1,2,257,0,9,4,42,144000,908102170
278,10,5,7,0,0,3,1,5,0,1008,4,1,4,1096,1,4,5,1,1,4,3,1,2,0,0,9,4,35,125200,908103350
281,2,6,7,2,0,3,2,2,3,1121,0,1,4,1121,2,4,5,0,3,0,2,2,2,132,64,9,4,7,140000,908208020
282,5,5,7,0,0,3,1,5,3,735,4,1,0,1487,1,4,7,1,2,4,3,1,2,0,140,9,4,65,113000,908225320
284,2,5,7,1,145,3,1,5,0,1216,0,1,0,1526,1,4,7,1,2,1,3,1,2,116,78,9,4,53,144500,908275300
285,1,5,24,1,203,3,0,5,2,1107,1,0,0,1296,2,1,5,1,2,4,3,1,2,0,0,9,4,86,104000,909100080
286,12,5,24,0,0,3,2,2,3,806,4,0,1,1647,1,1,6,0,3,4,3,1,2,0,66,9,4,95,128000,909100110
287,1,5,7,4,0,3,0,5,3,864,4,0,1,864,1,4,5,0,3,4,3,1,2,0,0,9,4,96,88250,909101070
288,5,5,24,1,0,3,0,5,3,1026,4,1,4,1691,2,2,6,1,2,4,3,1,2,0,0,9,4,86,127000,909176140
290,0,4,24,2,0,3,3,3,4,0,4,1,4,2468,3,4,10,0,3,6,1,0,2,0,0,9,4,43,160000,909177100
